Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,6842,30441285,6899,30684646,-57,-243362,5286,23502464,5468,24373737,-182,-871273
1,臺股期貨,投信,1532,6816996,1454,6490186,78,326810,51944,232103367,12420,55500241,39524,176603126
1,臺股期貨,外資,45978,204543963,44658,198634215,1320,5909748,25829,115279451,61559,274650615,-35730,-159371164
2,電子期貨,自營商,39,192429,45,222042,-6,-29613,89,440802,62,307210,27,133592
2,電子期貨,投信,11,54393,2,9902,9,44491,190,941257,10,49550,180,891707
2,電子期貨,外資,561,2771389,548,2707288,13,64101,144,713375,339,1679697,-195,-966322
3,金融期貨,自營商,157,332649,96,203151,61,129499,1175,2500820,122,259665,1053,2241155
3,金融期貨,投信,0,0,0,0,0,0,8,17027,0,0,8,17027
3,金融期貨,外資,323,683401,412,872515,-89,-189114,217,461788,228,485275,-11,-23487
4,小型臺指期貨,自營商,9388,10412363,9138,10139935,250,272428,4550,5046339,6263,6962782,-1713,-1916443
4,小型臺指期貨,投信,2,2235,0,0,2,2235,163,182104,12,13406,151,168698
4,小型臺指期貨,外資,70276,78113569,68620,76268263,1656,1845306,9230,10302059,1622,1811273,7608,8490786
5,微型臺指期貨,自營商,8547,1891348,7567,1672263,980,219084,17177,3820530,2790,619823,14387,3200707
5,微型臺指期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
5,微型臺指期貨,外資,40346,8959302,38283,8499819,2063,459483,2696,600510,7,1564,2689,598946
6,小型電子期貨,自營商,106,65159,82,50385,24,14774,58,35870,141,87272,-83,-51402
6,小型電子期貨,投信,0,0,0,0,0,0,88,54505,0,0,88,54505
6,小型電子期貨,外資,634,390638,660,406869,-26,-16230,73,45172,60,37163,13,8009
7,小型金融期貨,自營商,32,16974,88,46489,-56,-29516,48,25541,80,42568,-32,-17027
7,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
7,小型金融期貨,外資,115,60817,97,51351,18,9466,80,42568,0,0,80,42568
8,股票期貨,自營商,24381,4751842,29183,6093194,-4802,-1341352,183343,55647926,82077,12282886,101266,43365040
8,股票期貨,投信,1091,737468,483,578248,608,159220,5560,3060512,225,28436,5335,3032076
8,股票期貨,外資,121933,39733911,113010,37422429,8923,2311481,82790,34159000,382095,135739894,-299305,-101580894
9,ETF期貨,自營商,703,154522,1179,262159,-476,-107636,17934,4119490,11258,2487668,6676,1631822
9,ETF期貨,投信,0,0,0,0,0,0,1070,244050,80,24712,990,219338
9,ETF期貨,外資,756,176985,310,77937,446,99049,4993,1218008,31304,7604367,-26311,-6386359
10,櫃買指數期貨,自營商,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,自營商,13,17695,9,12265,4,5430,124,169224,19,25767,105,143457
11,非金電期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,外資,15,20417,10,13629,5,6788,1,1366,98,133878,-97,-132512
12,富櫃200期貨,自營商,49,22326,4,1832,45,20495,0,0,15,6809,-15,-6809
12,富櫃200期貨,投信,0,0,0,0,0,0,62,28427,0,0,62,28427
12,富櫃200期貨,外資,0,0,0,0,0,0,0,0,1,459,-1,-459
13,臺灣中型100期貨,自營商,184,33970,189,34925,-5,-954,312,57777,149,27545,163,30232
13,臺灣中型100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣中型100期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,自營商,332,385266,333,386445,-1,-1179,109,127608,110,128787,-1,-1179
14,臺灣永續期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,外資,1,1179,0,0,1,1179,1,1179,0,0,1,1179
15,臺灣生技期貨,自營商,0,0,0,0,0,0,0,0,8,1456,-8,-1456
15,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
15,臺灣生技期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,自營商,51,15169,41,12206,10,2963,30,8955,54,15935,-24,-6980
16,半導體30期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,外資,8,2385,8,2381,0,5,0,0,0,0,0,0
17,航運期貨,自營商,0,0,4,834,-4,-834,16,3335,0,0,16,3335
17,航運期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
17,航運期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
18,東證期貨,自營商,43,23968,16,8913,27,15055,10,5585,0,0,10,5585
18,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
18,東證期貨,外資,15,8373,46,25630,-31,-17257,29,16204,0,0,29,16204
19,美國標普500期貨,自營商,20,24101,12,14454,8,9647,6,7228,16,19274,-10,-12046
19,美國標普500期貨,投信,0,0,0,0,0,0,2,2409,0,0,2,2409
19,美國標普500期貨,外資,24,28925,34,40984,-10,-12059,503,610189,598,723731,-95,-113542
20,美國那斯達克100期貨,自營商,43,47018,18,19703,25,27315,0,0,129,141236,-129,-141236
20,美國那斯達克100期貨,投信,0,0,0,0,0,0,2,2190,0,0,2,2190
20,美國那斯達克100期貨,外資,405,443254,463,506524,-58,-63270,816,896569,124,137207,692,759362
21,美國道瓊期貨,自營商,4,3422,4,3426,0,-4,0,0,12,10274,-12,-10274
21,美國道瓊期貨,投信,0,0,0,0,0,0,3,2568,0,0,3,2568
21,美國道瓊期貨,外資,60,51457,37,31717,23,19739,338,290999,264,227260,74,63739
22,美國費城半導體期貨,自營商,43,18007,67,28041,-24,-10034,87,36658,266,111659,-179,-75001
22,美國費城半導體期貨,投信,0,0,0,0,0,0,11,4605,0,0,11,4605
22,美國費城半導體期貨,外資,169,70393,130,54033,39,16359,324,135771,178,74529,146,61242
23,英國富時100期貨,自營商,26,11535,11,4878,15,6657,860,380881,8,3555,852,377326
23,英國富時100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
23,英國富時100期貨,外資,10,4443,26,11539,-16,-7096,0,0,24,10636,-24,-10636
期貨 小計,期貨 小計,自營商,51003,48861048,54985,49902186,-3982,-1041137,231214,95937033,109047,47915908,122167,48021125
期貨 小計,期貨 小計,投信,2636,7611092,1939,7078336,697,532756,59103,236643021,12747,55616345,46356,181026676
期貨 小計,期貨 小計,外資,281629,336064801,267352,325627123,14277,10437678,128064,164774208,478501,423317548,-350437,-258543340
期貨合計,期貨合計,期貨合計,335268,392536941,324276,382607645,10992,9929297,418381,497354262,600295,526849801,-181914,-29495539
