Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,7943,35925585,8177,37018301,-234,-1092716,10507,47639824,4874,22124395,5633,25515429
1,臺股期貨,投信,5271,23829395,3676,16699238,1595,7130157,65376,297542108,13403,61029220,51973,236512888
1,臺股期貨,外資,48480,219494103,49656,224697305,-1176,-5203202,16583,75349210,74075,336646144,-57492,-261296934
2,電子期貨,自營商,63,321133,95,484562,-32,-163429,4,20473,74,379395,-70,-358922
2,電子期貨,投信,10,51268,4,20505,6,30763,256,1312563,0,0,256,1312563
2,電子期貨,外資,573,2925423,504,2573024,69,352398,187,958466,435,2230332,-248,-1271866
3,金融期貨,自營商,113,241315,149,319512,-36,-78197,495,1064901,162,347458,333,717443
3,金融期貨,投信,8,17225,0,0,8,17225,36,77573,0,0,36,77573
3,金融期貨,外資,235,504728,190,407042,45,97686,153,329614,315,676791,-162,-347177
4,小型臺指期貨,自營商,11004,12425809,9636,10883126,1368,1542683,6117,6916898,6961,7884888,-844,-967990
4,小型臺指期貨,投信,67,75680,59,67172,8,8507,414,470676,16,18214,398,452462
4,小型臺指期貨,外資,67012,75810689,65682,74284562,1330,1526127,6193,7044983,2625,2985560,3568,4059423
5,微型臺指期貨,自營商,16200,3663119,12785,2882343,3415,780776,22668,5139233,2746,614800,19922,4524433
5,微型臺指期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
5,微型臺指期貨,外資,36017,8144473,33806,7642222,2211,502251,3231,735017,6,1366,3225,733651
6,小型電子期貨,自營商,109,69452,117,74524,-8,-5072,74,47418,281,180048,-207,-132630
6,小型電子期貨,投信,12,7663,12,7694,0,-31,133,85213,0,0,133,85213
6,小型電子期貨,外資,620,395322,549,349922,71,45400,460,294783,26,16663,434,278120
7,小型金融期貨,自營商,74,39687,21,11226,53,28461,84,45251,64,34433,20,10818
7,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
7,小型金融期貨,外資,100,53675,85,45637,15,8038,0,0,8,4310,-8,-4310
8,股票期貨,自營商,44400,13474071,46685,13757208,-2285,-283137,243907,71524504,113480,13809577,130427,57714927
8,股票期貨,投信,335,100275,224,34707,111,65568,5631,4973126,170,27677,5461,4945449
8,股票期貨,外資,160242,62586299,166946,63837647,-6704,-1251347,114096,39130616,447690,163405113,-333594,-124274497
9,ETF期貨,自營商,2843,1250095,3099,1365563,-256,-115468,21757,10695207,10884,3604802,10873,7090405
9,ETF期貨,投信,1000,494807,1000,495970,0,-1163,3238,1608953,0,0,3238,1608953
9,ETF期貨,外資,3830,1816473,3496,1693811,334,122662,6409,4217566,21077,13415378,-14668,-9197812
10,櫃買指數期貨,自營商,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,自營商,38,49669,72,94471,-34,-44802,38,49305,141,184721,-103,-135416
11,非金電期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,外資,41,53642,32,41889,9,11753,137,179730,1,1312,136,178418
12,富櫃200期貨,自營商,16,7314,17,7685,-1,-370,0,0,49,22306,-49,-22306
12,富櫃200期貨,投信,17,7685,17,7769,0,-84,58,26445,0,0,58,26445
12,富櫃200期貨,外資,0,0,0,0,0,0,0,0,2,915,-2,-915
13,臺灣中型100期貨,自營商,61,11359,61,11352,0,7,236,44064,123,22904,113,21160
13,臺灣中型100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣中型100期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,自營商,170,202765,170,202765,0,0,110,131560,115,137567,-5,-6007
14,臺灣永續期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,外資,0,0,0,0,0,0,5,6007,0,0,5,6007
15,臺灣生技期貨,自營商,0,0,0,0,0,0,0,0,7,1277,-7,-1277
15,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
15,臺灣生技期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,自營商,49,15013,48,14715,1,298,48,14680,2,613,46,14067
16,半導體30期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,外資,16,4910,16,4903,0,7,0,0,0,0,0,0
17,航運期貨,自營商,2,368,0,0,2,368,27,4976,25,4608,2,368
17,航運期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
17,航運期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
18,美國標普500期貨,自營商,8,10126,17,21446,-9,-11320,6,7574,72,91386,-66,-83812
18,美國標普500期貨,投信,0,0,0,0,0,0,1,1262,0,0,1,1262
18,美國標普500期貨,外資,17,21462,13,16431,4,5031,298,377158,282,356445,16,20713
19,美國那斯達克100期貨,自營商,68,78075,82,93981,-14,-15906,23,26419,62,71216,-39,-44797
19,美國那斯達克100期貨,投信,0,0,0,0,0,0,2,2297,0,0,2,2297
19,美國那斯達克100期貨,外資,265,304759,316,363305,-51,-58547,861,990059,55,63864,806,926195
20,美國道瓊期貨,自營商,17,15229,43,38450,-26,-23221,0,0,82,73709,-82,-73709
20,美國道瓊期貨,投信,0,0,0,0,0,0,1,896,0,0,1,896
20,美國道瓊期貨,外資,126,113041,72,64567,54,48473,500,448785,51,46034,449,402751
21,美國費城半導體期貨,自營商,5,2298,14,6411,-9,-4113,89,41100,223,102277,-134,-61177
21,美國費城半導體期貨,投信,0,0,0,0,0,0,10,4586,0,0,10,4586
21,美國費城半導體期貨,外資,153,70324,146,67113,7,3211,309,141720,111,51193,198,90527
22,英國富時100期貨,自營商,8,3594,10,4489,-2,-895,594,266827,0,0,594,266827
22,英國富時100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
22,英國富時100期貨,外資,12,5387,2,896,10,4491,120,53906,0,0,120,53906
期貨 小計,期貨 小計,自營商,83191,67806076,81298,67292130,1893,513947,306784,143680214,140427,49692380,166357,93987834
期貨 小計,期貨 小計,投信,6720,24583998,4992,17333055,1728,7250942,75156,306105698,13589,61075111,61567,245030587
期貨 小計,期貨 小計,外資,317739,372304710,321511,376090276,-3772,-3785568,149542,130257620,546759,519901420,-397217,-389643800
期貨合計,期貨合計,期貨合計,407650,464694784,407801,460715461,-151,3979321,531482,580043532,700775,630668911,-169293,-50625379
