Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,5335,23199735,4945,21490318,390,1709417,4779,20644226,8106,35089552,-3327,-14445326
1,臺股期貨,投信,840,3633857,972,4221229,-132,-587371,52652,228435743,9596,41635109,43056,186800634
1,臺股期貨,外資,44352,193127178,45218,196898331,-866,-3771154,20419,88501311,57627,249751343,-37208,-161250032
2,電子期貨,自營商,82,390823,84,400184,-2,-9361,97,459837,180,853022,-83,-393185
2,電子期貨,投信,0,0,0,0,0,0,195,924294,0,0,195,924294
2,電子期貨,外資,323,1538081,340,1619130,-17,-81049,172,815502,318,1508020,-146,-692518
3,金融期貨,自營商,32,65891,59,121722,-27,-55830,1174,2416912,463,956928,711,1459984
3,金融期貨,投信,0,0,0,0,0,0,13,26868,0,0,13,26868
3,金融期貨,外資,314,647534,246,507315,68,140220,253,522900,152,314154,101,208746
4,小型臺指期貨,自營商,6561,7122212,6378,6914059,183,208152,9293,10044977,5656,6070297,3637,3974680
4,小型臺指期貨,投信,81,87387,80,86836,1,551,148,160021,15,16271,133,143750
4,小型臺指期貨,外資,72353,78765734,73847,80392659,-1494,-1626925,11741,12718049,4246,4604984,7495,8113065
5,微型臺指期貨,自營商,7155,1549518,11149,2415907,-3994,-866389,21427,4634517,7124,1540119,14303,3094398
5,微型臺指期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
5,微型臺指期貨,外資,43931,9564433,45590,9925830,-1659,-361397,1942,419645,0,0,1942,419645
6,小型電子期貨,自營商,259,154039,138,81891,121,72148,354,209842,35,20741,319,189101
6,小型電子期貨,投信,43,25383,43,25516,0,-134,88,52071,0,0,88,52071
6,小型電子期貨,外資,687,409185,759,452059,-72,-42874,139,82396,12,7107,127,75289
7,小型金融期貨,自營商,39,20113,5,2573,34,17540,147,75937,21,10827,126,65110
7,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
7,小型金融期貨,外資,57,29363,53,27297,4,2066,0,0,17,8784,-17,-8784
8,股票期貨,自營商,21412,5451686,23475,5250177,-2063,201509,154233,48118348,82272,11608345,71961,36510003
8,股票期貨,投信,371,54393,268,245834,103,-191441,8147,1946498,1824,417341,6323,1529157
8,股票期貨,外資,136817,42763080,139788,43927695,-2971,-1164614,73151,31509902,349883,122783259,-276732,-91273357
9,ETF期貨,自營商,1280,881744,2006,1300549,-726,-418804,22615,10186769,16190,5662928,6425,4523841
9,ETF期貨,投信,0,0,0,0,0,0,2655,3137221,2180,3853412,475,-716191
9,ETF期貨,外資,1550,1349458,1186,1179977,364,169482,2298,2025694,28584,10897164,-26286,-8871470
10,櫃買指數期貨,自營商,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,自營商,68,94786,67,93429,1,1356,78,108776,62,86524,16,22252
11,非金電期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,外資,16,22364,18,25123,-2,-2759,15,20937,6,8375,9,12562
12,富櫃200期貨,自營商,26,11601,2,893,24,10709,17,7546,75,33424,-58,-25878
12,富櫃200期貨,投信,0,0,0,0,0,0,68,30304,0,0,68,30304
12,富櫃200期貨,外資,0,0,0,0,0,0,0,0,7,3120,-7,-3120
13,臺灣中型100期貨,自營商,569,103940,553,101029,16,2911,589,107477,148,26898,441,80579
13,臺灣中型100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣中型100期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,自營商,30,34379,30,34379,0,0,360,412956,360,412956,0,0
14,臺灣永續期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,外資,0,0,0,0,0,0,1,1148,0,0,1,1148
15,臺灣生技期貨,自營商,0,0,0,0,0,0,0,0,11,1909,-11,-1909
15,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
15,臺灣生技期貨,外資,1,174,0,0,1,174,0,0,0,0,0,0
16,半導體30期貨,自營商,3,872,6,1740,-3,-868,103,29746,133,38396,-30,-8650
16,半導體30期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,外資,3,871,3,867,0,3,0,0,0,0,0,0
17,航運期貨,自營商,10,2123,3,644,7,1479,18,3815,0,0,18,3815
17,航運期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
17,航運期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
18,東證期貨,自營商,29,15903,39,21382,-10,-5478,14,7655,35,19135,-21,-11480
18,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
18,東證期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
19,美國標普500期貨,自營商,3,3539,4,4724,-1,-1185,6,7080,59,69620,-53,-62540
19,美國標普500期貨,投信,0,0,0,0,0,0,2,2360,0,0,2,2360
19,美國標普500期貨,外資,2,2371,3,3539,-1,-1168,395,469666,454,539191,-59,-69525
20,美國那斯達克100期貨,自營商,90,96072,76,81063,14,15009,25,26673,152,162169,-127,-135496
20,美國那斯達克100期貨,投信,0,0,0,0,0,0,2,2134,0,0,2,2134
20,美國那斯達克100期貨,外資,351,374747,354,377815,-3,-3068,1055,1131035,496,533126,559,597909
21,美國道瓊期貨,自營商,1,839,2,1682,-1,-843,0,0,41,34386,-41,-34386
21,美國道瓊期貨,投信,0,0,0,0,0,0,3,2516,0,0,3,2516
21,美國道瓊期貨,外資,28,23623,81,68364,-53,-44741,490,412586,429,361499,61,51087
22,美國費城半導體期貨,自營商,14,5600,18,7145,-4,-1545,48,19058,42,16691,6,2367
22,美國費城半導體期貨,投信,0,0,0,0,0,0,11,4367,0,0,11,4367
22,美國費城半導體期貨,外資,33,13109,21,8360,12,4749,353,140250,416,165200,-63,-24950
23,英國富時100期貨,自營商,19,8157,18,7731,1,426,721,308785,16,6879,705,301906
23,英國富時100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
23,英國富時100期貨,外資,20,8589,13,5577,7,3012,8,3428,0,0,8,3428
期貨 小計,期貨 小計,自營商,43017,39213572,49057,38333221,-6040,880353,216098,97830932,121181,62721746,94917,35109186
期貨 小計,期貨 小計,投信,1335,3801020,1363,4579415,-28,-778395,63984,234724397,13615,45922133,50369,188802264
期貨 小計,期貨 小計,外資,300838,328639894,307520,335419938,-6682,-6780043,112432,138774449,442647,391485326,-330215,-252710877
期貨合計,期貨合計,期貨合計,345190,371654486,357940,378332574,-12750,-6678085,392514,471329778,577443,500129205,-184929,-28799427
