Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,6500,29004779,5840,26061858,660,2942921,11348,50701779,3886,17365246,7462,33336533
1,臺股期貨,投信,1152,5156931,346,1546896,806,3610036,61428,275111441,13774,61688236,47654,213423205
1,臺股期貨,外資,38458,171636407,40876,182442460,-2418,-10806053,21867,97888606,76813,343764228,-54946,-245875622
2,電子期貨,自營商,54,269188,37,184581,17,84607,16,80195,80,400976,-64,-320781
2,電子期貨,投信,19,95190,0,0,19,95190,243,1217965,0,0,243,1217965
2,電子期貨,外資,276,1376879,326,1626520,-50,-249640,171,857086,480,2405856,-309,-1548770
3,金融期貨,自營商,66,138946,51,107095,15,31851,489,1028701,127,266757,362,761944
3,金融期貨,投信,0,0,0,0,0,0,24,50491,0,0,24,50491
3,金融期貨,外資,139,292421,153,321874,-14,-29454,172,361854,470,988786,-298,-626932
4,小型臺指期貨,自營商,8440,9408825,6963,7757958,1477,1650867,4470,4976056,6483,7229427,-2013,-2253371
4,小型臺指期貨,投信,3,3359,0,0,3,3359,378,423228,12,13436,366,409792
4,小型臺指期貨,外資,61457,68551132,63838,71207053,-2381,-2655920,4175,4672438,3330,3726795,845,945643
5,微型臺指期貨,自營商,8436,1880452,11098,2469038,-2662,-588586,15224,3397363,2859,635194,12365,2762169
5,微型臺指期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
5,微型臺指期貨,外資,35259,7864148,34815,7764543,444,99605,2968,664109,11,2449,2957,661660
6,小型電子期貨,自營商,207,129176,127,79199,80,49977,17,10645,226,141592,-209,-130947
6,小型電子期貨,投信,0,0,0,0,0,0,118,73930,0,0,118,73930
6,小型電子期貨,外資,611,381220,685,427514,-74,-46294,281,176054,67,41974,214,134080
7,小型金融期貨,自營商,61,32101,36,18912,25,13188,60,31557,85,44656,-25,-13099
7,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
7,小型金融期貨,外資,41,21545,71,37332,-30,-15787,20,10519,3,1578,17,8941
8,股票期貨,自營商,20072,4129621,27658,3947744,-7586,181877,243055,67961157,100190,10594980,142865,57366177
8,股票期貨,投信,352,37390,217,307885,135,-270496,6112,4054350,267,53718,5845,4000632
8,股票期貨,外資,104313,28806983,98007,30154202,6306,-1347219,95303,31817392,454831,156767535,-359528,-124950143
9,ETF期貨,自營商,2686,1013811,2783,1016507,-97,-2696,23358,11168312,8805,2494298,14553,8674014
9,ETF期貨,投信,0,0,0,0,0,0,2888,1407322,0,0,2888,1407322
9,ETF期貨,外資,2216,973896,2239,1013700,-23,-39804,3395,2706269,21425,13191077,-18030,-10484808
10,櫃買指數期貨,自營商,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,自營商,17,22391,78,103499,-61,-81108,35,46704,136,181690,-101,-134986
11,非金電期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,外資,37,49118,20,26568,17,22550,59,78854,1,1337,58,77517
12,富櫃200期貨,自營商,3,1363,1,453,2,910,0,0,52,23697,-52,-23697
12,富櫃200期貨,投信,0,0,0,0,0,0,60,27345,0,0,60,27345
12,富櫃200期貨,外資,0,0,0,0,0,0,0,0,1,456,-1,-456
13,臺灣中型100期貨,自營商,376,69267,304,56076,72,13191,254,46987,100,18466,154,28521
13,臺灣中型100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣中型100期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,自營商,160,186832,164,191560,-4,-4728,47,55317,51,60045,-4,-4728
14,臺灣永續期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,外資,4,4728,0,0,4,4728,4,4728,0,0,4,4728
15,臺灣生技期貨,自營商,8,1528,7,1341,1,188,0,0,5,954,-5,-954
15,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
15,臺灣生技期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,自營商,9,2674,11,3273,-2,-599,0,0,19,5652,-19,-5652
16,半導體30期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,外資,9,2679,9,2674,0,5,0,0,0,0,0,0
17,航運期貨,自營商,0,0,0,0,0,0,28,5235,25,4674,3,561
17,航運期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
17,航運期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
18,美國標普500期貨,自營商,0,0,0,0,0,0,6,7520,14,17547,-8,-10027
18,美國標普500期貨,投信,0,0,0,0,0,0,1,1253,0,0,1,1253
18,美國標普500期貨,外資,34,42501,13,16227,21,26274,207,259455,200,250670,7,8785
19,美國那斯達克100期貨,自營商,17,19282,37,41939,-20,-22657,20,22760,38,43244,-18,-20484
19,美國那斯達克100期貨,投信,0,0,0,0,0,0,2,2276,0,0,2,2276
19,美國那斯達克100期貨,外資,416,473401,505,574321,-89,-100921,822,935924,17,19557,805,916367
20,美國道瓊期貨,自營商,0,0,0,0,0,0,0,0,7,6284,-7,-6284
20,美國道瓊期貨,投信,0,0,0,0,0,0,1,898,0,0,1,898
20,美國道瓊期貨,外資,339,302964,117,104643,222,198320,610,547944,32,28960,578,518984
21,美國費城半導體期貨,自營商,6,2670,6,2675,0,-5,10,4502,94,41950,-84,-37448
21,美國費城半導體期貨,投信,0,0,0,0,0,0,10,4463,0,0,10,4463
21,美國費城半導體期貨,外資,84,37446,102,45447,-18,-8001,185,82604,35,15701,150,66903
22,英國富時100期貨,自營商,46,20208,29,12740,17,7468,545,240645,1,443,544,240202
22,英國富時100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
22,英國富時100期貨,外資,32,14058,39,17121,-7,-3064,167,73739,3,1329,164,72410
期貨 小計,期貨 小計,自營商,47164,46333114,55230,42056448,-8066,4276666,298982,139785435,123283,39577772,175699,100207663
期貨 小計,期貨 小計,投信,1526,5292870,563,1854781,963,3438089,71265,282374962,14053,61755390,57212,220619572
期貨 小計,期貨 小計,外資,243725,280831526,241815,295782199,1910,-14950675,130406,141137575,557719,521208288,-427313,-380070713
期貨合計,期貨合計,期貨合計,292415,332457510,297608,339693428,-5193,-7235920,500653,563297972,695055,622541450,-194402,-59243478
