Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,8570,35855350,7981,33401746,589,2453604,8751,36433579,4959,20636424,3792,15797155
1,臺股期貨,投信,648,2704262,2748,11462950,-2100,-8758688,51504,214977696,13784,57534416,37720,157443280
1,臺股期貨,外資,62369,261801627,59801,251004624,2568,10797003,21144,88188408,66537,277438109,-45393,-189249701
2,電子期貨,自營商,115,524626,55,251193,60,273433,87,394575,66,299376,21,95199
2,電子期貨,投信,0,0,0,0,0,0,169,766584,10,45360,159,721224
2,電子期貨,外資,387,1763373,537,2447700,-150,-684327,90,408240,446,2023056,-356,-1614816
3,金融期貨,自營商,84,171517,71,144937,13,26580,1090,2226870,109,222687,981,2004183
3,金融期貨,投信,0,0,0,0,0,0,8,16344,0,0,8,16344
3,金融期貨,外資,247,504046,292,596104,-45,-92058,206,420858,245,500535,-39,-79677
4,小型臺指期貨,自營商,10107,10576333,10252,10720966,-145,-144633,3089,3212486,9798,10164469,-6709,-6951983
4,小型臺指期貨,投信,0,0,3,3132,-3,-3132,154,160699,25,26088,129,134611
4,小型臺指期貨,外資,106851,112199294,109053,114508511,-2202,-2309217,5631,5869352,6158,6419683,-527,-550331
5,微型臺指期貨,自營商,7389,1543228,20386,4264960,-12997,-2721732,5546,1152251,28090,5845340,-22544,-4693089
5,微型臺指期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
5,微型臺指期貨,外資,57145,12003499,59305,12457726,-2160,-454226,2862,595179,6,1246,2856,593933
6,小型電子期貨,自營商,75,42827,94,53713,-19,-10886,62,35154,172,97446,-110,-62292
6,小型電子期貨,投信,0,0,0,0,0,0,88,49896,0,0,88,49896
6,小型電子期貨,外資,865,493759,793,453094,72,40665,17,9639,48,27202,-31,-17563
7,小型金融期貨,自營商,54,27568,43,21906,11,5662,31,15833,59,30134,-28,-14301
7,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
7,小型金融期貨,外資,73,37266,71,36239,2,1027,13,6640,0,0,13,6640
8,股票期貨,自營商,29841,5872610,26495,5009289,3346,863321,178864,53758408,64008,8360430,114856,45397978
8,股票期貨,投信,489,40088,0,0,489,40088,3923,2058195,236,35613,3687,2022582
8,股票期貨,外資,111946,37619892,120999,39478015,-9053,-1858122,64500,29061650,396458,134277109,-331958,-105215459
9,ETF期貨,自營商,1251,662462,1598,752709,-347,-90248,20429,9064101,11804,2910600,8625,6153501
9,ETF期貨,投信,0,0,0,0,0,0,1070,238513,80,24208,990,214305
9,ETF期貨,外資,1675,1397773,1276,1290128,399,107645,4947,2316271,34099,13852989,-29152,-11536718
10,櫃買指數期貨,自營商,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,自營商,137,184386,113,152085,24,32302,89,119606,13,17401,76,102205
11,非金電期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,外資,109,146664,121,162778,-12,-16114,2,2690,93,125066,-91,-122376
12,富櫃200期貨,自營商,24,10154,6,2556,18,7598,14,5939,11,4587,3,1352
12,富櫃200期貨,投信,0,0,0,0,0,0,68,28846,0,0,68,28846
12,富櫃200期貨,外資,0,0,2,854,-2,-854,0,0,3,1273,-3,-1273
13,臺灣中型100期貨,自營商,234,41485,286,50643,-52,-9157,231,40781,38,6693,193,34088
13,臺灣中型100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣中型100期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,自營商,130,142090,131,143196,-1,-1106,151,165385,151,165385,0,0
14,臺灣永續期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,外資,1,1106,0,0,1,1106,0,0,0,0,0,0
15,臺灣生技期貨,自營商,0,0,0,0,0,0,0,0,6,1059,-6,-1059
15,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
15,臺灣生技期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,自營商,136,37762,209,57944,-73,-20182,27,7471,41,11041,-14,-3570
16,半導體30期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,外資,18,4934,18,4919,0,15,0,0,0,0,0,0
17,航運期貨,自營商,3,635,4,851,-1,-215,12,2558,0,0,12,2558
17,航運期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
17,航運期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
18,東證期貨,自營商,31,17208,61,33950,-30,-16742,7,3885,0,0,7,3885
18,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
18,東證期貨,外資,55,30623,40,22228,15,8395,22,12212,2,1110,20,11102
19,美國標普500期貨,自營商,1,1201,1,1192,0,9,6,7070,38,44779,-32,-37709
19,美國標普500期貨,投信,0,0,0,0,0,0,2,2357,0,0,2,2357
19,美國標普500期貨,外資,34,40424,27,31947,7,8476,441,523771,510,604659,-69,-80888
20,美國那斯達克100期貨,自營商,43,46053,58,62107,-15,-16054,24,25460,161,170797,-137,-145337
20,美國那斯達克100期貨,投信,0,0,0,0,0,0,2,2122,0,0,2,2122
20,美國那斯達克100期貨,外資,1052,1130767,1031,1106910,21,23857,1032,1100385,227,243640,805,856745
21,美國道瓊期貨,自營商,4,3401,14,11859,-10,-8457,0,0,4,3369,-4,-3369
21,美國道瓊期貨,投信,0,0,0,0,0,0,3,2527,0,0,3,2527
21,美國道瓊期貨,外資,139,117448,201,169984,-62,-52536,353,298711,336,284387,17,14324
22,美國費城半導體期貨,自營商,42,16242,18,6946,24,9296,99,37592,97,36932,2,660
22,美國費城半導體期貨,投信,0,0,0,0,0,0,11,4169,0,0,11,4169
22,美國費城半導體期貨,外資,133,51983,158,61035,-25,-9053,344,130464,369,139946,-25,-9482
23,英國富時100期貨,自營商,23,10071,33,14439,-10,-4368,834,366466,0,0,834,366466
23,英國富時100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
23,英國富時100期貨,外資,27,11806,20,8747,7,3058,2,882,11,4833,-9,-3951
期貨 小計,期貨 小計,自營商,58294,55787209,67909,55159187,-9615,628025,219443,107075470,119625,49028949,99818,58046521
期貨 小計,期貨 小計,投信,1137,2744350,2751,11466082,-1614,-8721732,57002,218307948,14135,57665685,42867,160642263
期貨 小計,期貨 小計,外資,343126,429356284,353745,423841543,-10619,5514740,101606,128945352,505548,435944843,-403942,-306999491
期貨合計,期貨合計,期貨合計,402557,487887843,424405,490466812,-21848,-2578967,378051,454328770,639308,542639477,-261257,-88310707
