Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,12753,37919878,14265,42441427,-1512,-4521549,12910,38244922,6373,18877985,6537,19366937
1,臺股期貨,投信,748,2219711,872,2589581,-124,-369870,10608,31468264,17929,53188338,-7321,-21720074
1,臺股期貨,外資,86077,256243502,80105,238481406,5972,17762096,33712,99983872,22023,65307628,11689,34676244
2,電子期貨,自營商,511,1413790,595,1644503,-84,-230712,273,750322,327,899643,-54,-149321
2,電子期貨,投信,1,2744,5,13762,-4,-11017,146,401813,0,0,146,401813
2,電子期貨,外資,1420,3928159,1302,3604502,118,323657,1504,4139214,286,787086,1218,3352128
3,金融期貨,自營商,151,233014,167,257597,-16,-24583,192,294912,96,147456,96,147456
3,金融期貨,投信,0,0,0,0,0,0,48,73728,0,0,48,73728
3,金融期貨,外資,914,1408778,937,1444114,-23,-35335,413,634368,1046,1606656,-633,-972288
4,小型臺指期貨,自營商,20814,15460920,21212,15761943,-398,-301022,9870,7293067,2680,1985159,7190,5307908
4,小型臺指期貨,投信,19,14055,20,14825,-1,-770,95,70429,11,8159,84,62270
4,小型臺指期貨,外資,138169,102823461,132899,98897850,5270,3925612,12822,9508227,6416,4753476,6406,4754751
5,小型電子期貨,自營商,1161,400520,968,334171,193,66349,401,137911,318,109231,83,28680
5,小型電子期貨,投信,0,0,0,0,0,0,30,10321,0,0,30,10321
5,小型電子期貨,外資,1696,586315,1666,576212,30,10103,1108,381122,308,105959,800,275163
6,小型金融期貨,自營商,81,31270,111,42797,-30,-11527,16,6144,116,44544,-100,-38400
6,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
6,小型金融期貨,外資,69,26645,61,23549,8,3097,0,0,176,67584,-176,-67584
7,股票期貨,自營商,21834,4270438,23206,4764665,-1372,-494228,139765,22031194,83256,12973694,56509,9057500
7,股票期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
7,股票期貨,外資,110583,30759187,107790,30053148,2793,706038,88212,29042026,264833,61879518,-176621,-32837492
8,ETF期貨,自營商,2118,1723319,2254,1869597,-136,-146279,1867,2015111,2901,2462153,-1034,-447042
8,ETF期貨,投信,2544,2985833,2544,2985875,0,-41,4152,4032738,3750,4267410,402,-234672
8,ETF期貨,外資,1905,2129950,1783,2010214,122,119737,1325,1531526,1832,1438897,-507,92629
9,櫃買指數期貨,自營商,1,748,4,2982,-3,-2234,21,15658,71,52859,-50,-37201
9,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
9,櫃買指數期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
10,非金電期貨,自營商,70,101649,45,65297,25,36352,34,49149,145,209862,-111,-160713
10,非金電期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
10,非金電期貨,外資,97,140898,118,171424,-21,-30527,152,220218,5,7244,147,212974
11,富櫃200期貨,自營商,9,3351,2,742,7,2609,61,22558,90,33255,-29,-10697
11,富櫃200期貨,投信,0,0,0,0,0,0,51,18845,0,0,51,18845
11,富櫃200期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
12,臺灣永續期貨,自營商,2,1519,0,0,2,1519,71,53838,68,51564,3,2274
12,臺灣永續期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
12,臺灣永續期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣生技期貨,自營商,19,3931,13,2695,6,1236,16,3320,0,0,16,3320
13,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣生技期貨,外資,2,415,0,0,2,415,0,0,0,0,0,0
14,半導體30期貨,自營商,109,20658,143,27048,-34,-6390,19,3572,25,4706,-6,-1134
14,半導體30期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
14,半導體30期貨,外資,29,5496,29,5485,0,11,0,0,0,0,0,0
15,航運期貨,自營商,0,0,1,160,-1,-160,17,2703,6,955,11,1748
15,航運期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
15,航運期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
16,東證期貨,自營商,33,12574,68,25928,-35,-13355,10,3800,0,0,10,3800
16,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
16,東證期貨,外資,22,8358,14,5322,8,3036,0,0,23,8739,-23,-8739
17,美國標普500期貨,自營商,1,799,0,0,1,799,1,799,12,9589,-11,-8790
17,美國標普500期貨,投信,0,0,1,799,-1,-799,4,3196,0,0,4,3196
17,美國標普500期貨,外資,100,79983,95,75867,5,4116,74,59133,81,64831,-7,-5698
18,美國那斯達克100期貨,自營商,14,8054,26,14974,-12,-6919,0,0,664,381136,-664,-381136
18,美國那斯達克100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
18,美國那斯達克100期貨,外資,2162,1242286,2140,1227952,22,14334,98,56896,1429,820410,-1331,-763514
19,美國道瓊期貨,自營商,64,43858,36,24653,28,19205,472,322942,68,46526,404,276416
19,美國道瓊期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
19,美國道瓊期貨,外資,2178,1488270,2171,1481976,7,6294,1990,1362346,0,0,1990,1362346
20,英國富時100期貨,自營商,53,20614,31,12044,22,8570,184,71714,34,13243,150,58471
20,英國富時100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
20,英國富時100期貨,外資,69,26725,85,32959,-16,-6234,172,67005,9,3508,163,63497
期貨 小計,期貨 小計,自營商,59798,61670904,63147,67293223,-3349,-5622319,166200,71323636,97250,38303560,68950,33020076
期貨 小計,期貨 小計,投信,3312,5222343,3442,5604842,-130,-382497,15134,36079334,21690,57463907,-6556,-21384573
期貨 小計,期貨 小計,外資,345492,400898428,331195,378091980,14297,22806450,141582,146985953,298467,136851536,-156885,10134417
期貨合計,期貨合計,期貨合計,408602,467791675,397784,450990045,10818,16801634,322916,254388923,417407,232619003,-94491,21769920
