Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,9844,41844180,10230,43490052,-386,-1645872,4980,21198873,6571,27976002,-1591,-6777129
1,臺股期貨,投信,29,123343,435,1852326,-406,-1728983,37531,159852035,7731,32927875,29800,126924160
1,臺股期貨,外資,69877,296959911,66429,282297216,3448,14662695,19514,83117028,43799,186507788,-24285,-103390760
2,電子期貨,自營商,33,151574,65,298138,-32,-146564,53,242881,128,586573,-75,-343692
2,電子期貨,投信,0,0,0,0,0,0,186,852364,10,45826,176,806538
2,電子期貨,外資,342,1568470,315,1444903,27,123567,136,623234,427,1956770,-291,-1333536
3,金融期貨,自營商,52,109470,41,86322,11,23148,222,468246,56,118115,166,350131
3,金融期貨,投信,0,0,0,0,0,0,22,46402,0,0,22,46402
3,金融期貨,外資,192,404041,156,328231,36,75810,179,377547,310,653852,-131,-276305
4,小型臺指期貨,自營商,12448,13226794,10536,11193702,1912,2033092,4603,4902332,9985,10609473,-5382,-5707141
4,小型臺指期貨,投信,0,0,3,3195,-3,-3195,156,166109,15,15972,141,150137
4,小型臺指期貨,外資,119966,127434868,113734,120808792,6232,6626076,3456,3680254,3051,3249188,405,431066
5,微型臺指期貨,自營商,13887,2953541,9995,2119603,3892,833938,4195,892712,19993,4254057,-15798,-3361345
5,微型臺指期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
5,微型臺指期貨,外資,61070,12972721,57278,12162539,3792,810182,10,2130,4,852,6,1278
6,小型電子期貨,自營商,120,68772,63,36087,57,32685,204,116872,111,63584,93,53288
6,小型電子期貨,投信,0,0,0,0,0,0,96,54991,0,0,96,54991
6,小型電子期貨,外資,1178,674801,1254,718462,-76,-43661,33,18903,0,0,33,18903
7,小型金融期貨,自營商,21,11072,12,6293,9,4779,5,2639,16,8437,-11,-5798
7,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
7,小型金融期貨,外資,71,37366,59,31064,12,6302,26,13710,0,0,26,13710
8,股票期貨,自營商,20117,4135274,21382,3885930,-1265,249344,54006,13166527,147483,40448307,-93477,-27281780
8,股票期貨,投信,0,0,0,0,0,0,33,62172,525,73259,-492,-11087
8,股票期貨,外資,92783,25737943,90410,26255811,2373,-517867,101859,52517828,261747,93954814,-159888,-41436986
9,ETF期貨,自營商,3402,1435449,1586,944245,1816,491203,6548,2940362,38940,13265523,-32392,-10325161
9,ETF期貨,投信,70,123608,0,0,70,123608,2682,3087980,2180,3734390,502,-646410
9,ETF期貨,外資,1145,1319800,1278,1339081,-133,-19281,2073,3426372,10456,3902559,-8383,-476187
10,櫃買指數期貨,自營商,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,自營商,14,19675,31,43615,-17,-23941,99,140016,65,91930,34,48086
11,非金電期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,外資,30,42191,15,21063,15,21128,5,7072,27,38186,-22,-31114
12,富櫃200期貨,自營商,4,1821,1,458,3,1364,45,20572,0,0,45,20572
12,富櫃200期貨,投信,0,0,0,0,0,0,26,11886,0,0,26,11886
12,富櫃200期貨,外資,0,0,1,457,-1,-457,0,0,2,914,-2,-914
13,臺灣中型100期貨,自營商,321,58492,312,56853,9,1638,491,89722,223,40743,268,48979
13,臺灣中型100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣中型100期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,自營商,125,140891,120,135246,5,5645,119,134018,116,130640,3,3378
14,臺灣永續期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,外資,5,5619,10,11264,-5,-5645,0,0,3,3378,-3,-3378
15,臺灣生技期貨,自營商,0,0,1,180,-1,-180,0,0,28,5062,-28,-5062
15,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
15,臺灣生技期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,自營商,53,15210,49,14035,4,1175,0,0,94,27072,-94,-27072
16,半導體30期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,外資,26,7463,26,7463,0,0,0,0,0,0,0,0
17,航運期貨,自營商,0,0,0,0,0,0,10,2024,0,0,10,2024
17,航運期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
17,航運期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
18,東證期貨,自營商,14,7448,7,3690,7,3757,14,7403,0,0,14,7403
18,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
18,東證期貨,外資,10,5302,34,18064,-24,-12762,0,0,81,42830,-81,-42830
19,美國標普500期貨,自營商,13,14769,33,37365,-20,-22595,0,0,36,40882,-36,-40882
19,美國標普500期貨,投信,0,0,0,0,0,0,2,2271,0,0,2,2271
19,美國標普500期貨,外資,55,62306,35,39696,20,22611,0,0,160,181961,-160,-181961
20,美國那斯達克100期貨,自營商,94,91461,83,80653,11,10808,0,0,156,152857,-156,-152857
20,美國那斯達克100期貨,投信,0,0,0,0,0,0,18,17637,0,0,18,17637
20,美國那斯達克100期貨,外資,1966,1915512,1774,1727942,192,187570,0,0,1170,1146795,-1170,-1146795
21,美國道瓊期貨,自營商,8,6747,9,7576,-1,-829,1,850,20,16888,-19,-16038
21,美國道瓊期貨,投信,0,0,0,0,0,0,3,2533,0,0,3,2533
21,美國道瓊期貨,外資,409,344865,456,384324,-47,-39459,432,364792,92,77691,340,287101
22,美國費城半導體期貨,自營商,76,26209,67,23067,9,3142,186,64112,105,36389,81,27723
22,美國費城半導體期貨,投信,0,0,0,0,0,0,11,3791,0,0,11,3791
22,美國費城半導體期貨,外資,407,139959,432,148544,-25,-8585,204,70418,969,333917,-765,-263499
23,英國富時100期貨,自營商,67,28946,80,34526,-13,-5580,486,209320,25,10798,461,198522
23,英國富時100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
23,英國富時100期貨,外資,94,40588,84,36295,10,4293,42,18113,0,0,42,18113
期貨 小計,期貨 小計,自營商,60713,64347795,54703,62497636,6010,1850157,76267,44599481,224151,97883332,-147884,-53283851
期貨 小計,期貨 小計,投信,99,246951,438,1855521,-339,-1608570,40766,164160171,10461,36797322,30305,127362849
期貨 小計,期貨 小計,外資,349626,469673726,333780,447781211,15846,21892517,127969,144237401,322298,292051495,-194329,-147814094
期貨合計,期貨合計,期貨合計,410438,534268472,388921,512134368,21517,22134104,245002,352997053,556910,426732149,-311908,-73735096
