Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,12933,58528073,12693,57457769,240,1070304,6889,31430684,5698,26002468,1191,5428216
1,臺股期貨,投信,21634,98378346,21214,96242534,420,2135813,31998,146062244,5654,25808805,26344,120253439
1,臺股期貨,外資,81449,367958184,80736,364999490,713,2958694,13324,60767585,55758,254351052,-42434,-193583467
2,電子期貨,自營商,229,1155209,207,1045289,22,109921,49,248208,167,848778,-118,-600570
2,電子期貨,投信,201,1018882,208,1049854,-7,-30972,252,1282708,0,0,252,1282708
2,電子期貨,外資,639,3222230,641,3234367,-2,-12137,418,2124751,721,3662974,-303,-1538223
3,金融期貨,自營商,94,197053,87,182328,7,14725,96,201421,122,256077,-26,-54656
3,金融期貨,投信,23,48269,23,48153,0,116,23,48364,0,0,23,48364
3,金融期貨,外資,312,653714,378,792210,-66,-138496,246,517020,557,1169552,-311,-652532
4,小型臺指期貨,自營商,17950,20294216,17129,19359305,821,934911,5073,5788149,13638,15551975,-8565,-9763826
4,小型臺指期貨,投信,36,41045,36,40927,0,118,142,162050,16,18259,126,143791
4,小型臺指期貨,外資,101737,114707924,99522,112205180,2215,2502743,3506,3992048,8186,9330522,-4680,-5338474
5,微型臺指期貨,自營商,12914,2921518,9697,2189052,3217,732466,7009,1595539,26825,6117198,-19816,-4521659
5,微型臺指期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
5,微型臺指期貨,外資,50953,11479280,43191,9725169,7762,1754111,3242,738331,7892,1795979,-4650,-1057648
6,小型電子期貨,自營商,346,217547,364,229088,-18,-11541,124,78564,368,233438,-244,-154874
6,小型電子期貨,投信,45,28524,45,28408,0,116,111,70640,0,0,111,70640
6,小型電子期貨,外資,757,476593,721,453799,36,22794,303,191802,54,34181,249,157621
7,小型金融期貨,自營商,52,27238,11,5757,41,21481,109,57167,41,21520,68,35647
7,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
7,小型金融期貨,外資,87,45550,51,26696,36,18855,9,4727,10,5243,-1,-516
8,股票期貨,自營商,41863,12498728,40576,12349458,1287,149270,78889,20869879,176441,60817801,-97552,-39947922
8,股票期貨,投信,0,0,21,2572,-21,-2572,228,543040,415,104873,-187,438167
8,股票期貨,外資,197434,84680836,189373,82995401,8061,1685436,114536,67846232,300360,117416043,-185824,-49569811
9,ETF期貨,自營商,10810,4351190,8789,3844074,2021,507117,5888,2646907,75815,23080684,-69927,-20433777
9,ETF期貨,投信,2373,2640401,2376,2641100,-3,-698,2616,3256096,2180,4139916,436,-883820
9,ETF期貨,外資,2525,3380002,2392,3170635,133,209368,2062,2901445,6936,2890877,-4874,10568
10,櫃買指數期貨,自營商,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,自營商,89,123554,104,144462,-15,-20908,120,167331,75,104551,45,62780
11,非金電期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,外資,64,88947,29,40217,35,48730,10,13939,0,0,10,13939
12,富櫃200期貨,自營商,51,24553,45,21663,6,2890,95,45914,23,11139,72,34775
12,富櫃200期貨,投信,0,0,0,0,0,0,37,17925,0,0,37,17925
12,富櫃200期貨,外資,8,3851,4,1924,4,1927,1,483,0,0,1,483
13,臺灣中型100期貨,自營商,1047,196125,1119,209631,-72,-13506,381,71676,140,26381,241,45295
13,臺灣中型100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣中型100期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,自營商,178,212206,178,212206,0,0,61,72945,64,76528,-3,-3583
14,臺灣永續期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,外資,0,0,0,0,0,0,3,3584,0,0,3,3584
15,臺灣生技期貨,自營商,0,0,0,0,0,0,4,792,2,395,2,397
15,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
15,臺灣生技期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,自營商,227,67672,212,63193,15,4479,10,3015,147,44344,-137,-41329
16,半導體30期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,外資,7,2110,7,2114,0,-4,0,0,0,0,0,0
17,航運期貨,自營商,3,591,2,394,1,197,4,788,0,0,4,788
17,航運期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
17,航運期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
18,東證期貨,自營商,1,543,3,1614,-2,-1071,0,0,68,36535,-68,-36535
18,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
18,東證期貨,外資,43,23063,6,3219,37,19844,0,0,125,67155,-125,-67155
19,美國標普500期貨,自營商,0,0,10,11725,-10,-11725,0,0,20,23573,-20,-23573
19,美國標普500期貨,投信,0,0,0,0,0,0,1,1179,0,0,1,1179
19,美國標普500期貨,外資,20,23416,10,11727,10,11690,0,0,831,980122,-831,-980122
20,美國那斯達克100期貨,自營商,22,23071,16,16794,6,6278,0,0,348,366641,-348,-366641
20,美國那斯達克100期貨,投信,0,0,0,0,0,0,4,4214,0,0,4,4214
20,美國那斯達克100期貨,外資,850,887784,746,778221,104,109563,48,51072,1960,2065123,-1912,-2014051
21,美國道瓊期貨,自營商,0,0,0,0,0,0,0,0,36,30694,-36,-30694
21,美國道瓊期貨,投信,0,0,0,0,0,0,2,1705,0,0,2,1705
21,美國道瓊期貨,外資,289,244436,151,127495,138,116941,5,4276,531,452913,-526,-448637
22,美國費城半導體期貨,自營商,237,95774,77,31111,160,64663,396,161937,23,9444,373,152493
22,美國費城半導體期貨,投信,0,0,0,0,0,0,15,6134,0,0,15,6134
22,美國費城半導體期貨,外資,281,112787,430,173175,-149,-60388,141,57666,1008,412200,-867,-354534
23,英國富時100期貨,自營商,166,68203,48,19682,118,48521,248,102045,0,0,248,102045
23,英國富時100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
23,英國富時100期貨,外資,41,16834,40,16438,1,396,0,0,50,20578,-50,-20578
期貨 小計,期貨 小計,自營商,99212,101003064,91367,97394595,7845,3608472,105445,63542961,300061,133660164,-194616,-70117203
期貨 小計,期貨 小計,投信,24312,102155467,23923,100053548,389,2101921,35429,151456299,8265,30071853,27164,121384446
期貨 小計,期貨 小計,外資,437496,588007541,418428,578757477,19068,9250067,137854,139214961,384979,394654514,-247125,-255439553
期貨合計,期貨合計,期貨合計,561020,791166072,533718,776205620,27302,14960460,278728,354214221,693305,558386531,-414577,-204172310
