Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,3528,11042581,3777,11829361,-249,-786780
1,臺股期貨,投信,15,47007,15,46926,0,81
1,臺股期貨,外資,19347,60620875,21341,66876827,-1994,-6255952
2,電子期貨,自營商,61,181144,138,409982,-77,-228838
2,電子期貨,投信,0,0,0,0,0,0
2,電子期貨,外資,219,650782,211,626721,8,24061
3,小型臺指期貨,自營商,6828,5339005,6753,5280230,75,58775
3,小型臺指期貨,投信,0,0,0,0,0,0
3,小型臺指期貨,外資,39404,30870830,40503,31729649,-1099,-858819
4,小型電子期貨,自營商,254,94339,267,99123,-13,-4784
4,小型電子期貨,投信,0,0,0,0,0,0
4,小型電子期貨,外資,159,59072,164,60966,-5,-1894
5,ETF期貨,自營商,70,85182,82,99753,-12,-14571
5,ETF期貨,投信,0,0,0,0,0,0
5,ETF期貨,外資,20,24306,20,24305,0,1
6,半導體30期貨,自營商,128,26581,139,28852,-11,-2271
6,半導體30期貨,投信,0,0,0,0,0,0
6,半導體30期貨,外資,0,0,0,0,0,0
7,美國標普500期貨,自營商,22,18124,22,18126,0,-2
7,美國標普500期貨,投信,0,0,0,0,0,0
7,美國標普500期貨,外資,53,43835,68,56248,-15,-12413
8,美國那斯達克100期貨,自營商,28,17568,26,16309,2,1259
8,美國那斯達克100期貨,投信,0,0,0,0,0,0
8,美國那斯達克100期貨,外資,1492,943557,1826,1152387,-334,-208830
9,美國道瓊期貨,自營商,0,0,0,0,0,0
9,美國道瓊期貨,投信,0,0,0,0,0,0
9,美國道瓊期貨,外資,773,526479,1267,860750,-494,-334271
10,英國富時100期貨,自營商,15,5910,9,3545,6,2365
10,英國富時100期貨,投信,0,0,0,0,0,0
10,英國富時100期貨,外資,68,26798,53,20885,15,5913
期貨 小計,期貨 小計,自營商,10934,16810434,11213,17785281,-279,-974847
期貨 小計,期貨 小計,投信,15,47007,15,46926,0,81
期貨 小計,期貨 小計,外資,61535,93766534,65453,101408738,-3918,-7642204
期貨合計,期貨合計,期貨合計,72484,110623975,76681,119240945,-4197,-8616970
