Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,1289,6063033,1154,5428618,135,634415
1,臺股期貨,投信,0,0,0,0,0,0
1,臺股期貨,外資,7497,35264132,7622,35855316,-125,-591184
2,電子期貨,自營商,12,62285,17,88130,-5,-25845
2,電子期貨,投信,0,0,0,0,0,0
2,電子期貨,外資,13,67273,16,82929,-3,-15656
3,小型臺指期貨,自營商,2439,2867824,2323,2732283,116,135541
3,小型臺指期貨,投信,0,0,0,0,0,0
3,小型臺指期貨,外資,11278,13260598,11591,13630338,-313,-369740
4,微型臺指期貨,自營商,1766,415355,1759,413671,7,1684
4,微型臺指期貨,投信,0,0,0,0,0,0
4,微型臺指期貨,外資,5057,1189326,5920,1392331,-863,-203005
5,小型電子期貨,自營商,49,31708,36,23307,13,8401
5,小型電子期貨,投信,0,0,0,0,0,0
5,小型電子期貨,外資,14,9065,24,15528,-10,-6463
6,股票期貨,自營商,0,0,12,21987,-12,-21987
6,股票期貨,投信,0,0,0,0,0,0
6,股票期貨,外資,1907,1157922,2075,1444666,-168,-286744
7,ETF期貨,自營商,472,309709,480,367046,-8,-57337
7,ETF期貨,投信,0,0,0,0,0,0
7,ETF期貨,外資,23,41744,7,10240,16,31504
8,臺灣中型100期貨,自營商,24,4757,17,3365,7,1392
8,臺灣中型100期貨,投信,0,0,0,0,0,0
8,臺灣中型100期貨,外資,0,0,0,0,0,0
9,半導體30期貨,自營商,31,9965,55,17688,-24,-7723
9,半導體30期貨,投信,0,0,0,0,0,0
9,半導體30期貨,外資,0,0,0,0,0,0
10,東證期貨,自營商,0,0,20,11082,-20,-11082
10,東證期貨,投信,0,0,0,0,0,0
10,東證期貨,外資,21,11635,0,0,21,11635
11,美國標普500期貨,自營商,1,1230,0,0,1,1230
11,美國標普500期貨,投信,0,0,0,0,0,0
11,美國標普500期貨,外資,1,1229,1,1229,0,0
12,美國那斯達克100期貨,自營商,0,0,20,22248,-20,-22248
12,美國那斯達克100期貨,投信,0,0,0,0,0,0
12,美國那斯達克100期貨,外資,108,120171,192,213636,-84,-93465
13,美國道瓊期貨,自營商,0,0,1,894,-1,-894
13,美國道瓊期貨,投信,0,0,0,0,0,0
13,美國道瓊期貨,外資,24,21472,20,17894,4,3578
14,美國費城半導體期貨,自營商,7,2915,17,7070,-10,-4155
14,美國費城半導體期貨,投信,0,0,0,0,0,0
14,美國費城半導體期貨,外資,70,29168,67,27910,3,1258
15,英國富時100期貨,自營商,18,7846,67,29182,-49,-21336
15,英國富時100期貨,投信,0,0,0,0,0,0
15,英國富時100期貨,外資,67,29179,17,7410,50,21769
期貨 小計,期貨 小計,自營商,6108,9776627,5978,9166571,130,610056
期貨 小計,期貨 小計,投信,0,0,0,0,0,0
期貨 小計,期貨 小計,外資,26080,51202914,27552,52699427,-1472,-1496513
期貨合計,期貨合計,期貨合計,32188,60979541,33530,61865998,-1342,-886457
