Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,1276,3774179,964,2850345,312,923834
1,臺股期貨,投信,0,0,0,0,0,0
1,臺股期貨,外資,7307,21626606,7878,23318106,-571,-1691500
2,電子期貨,自營商,13,36027,36,99699,-23,-63672
2,電子期貨,投信,0,0,0,0,0,0
2,電子期貨,外資,40,110828,43,119201,-3,-8373
3,小型臺指期貨,自營商,2332,1725081,2464,1821212,-132,-96131
3,小型臺指期貨,投信,0,0,0,0,0,0
3,小型臺指期貨,外資,13301,9842803,16392,12130416,-3091,-2287613
4,小型電子期貨,自營商,91,31487,135,46736,-44,-15249
4,小型電子期貨,投信,0,0,0,0,0,0
4,小型電子期貨,外資,105,36372,69,23896,36,12476
5,ETF期貨,自營商,7,8194,22,25782,-15,-17588
5,ETF期貨,投信,0,0,0,0,0,0
5,ETF期貨,外資,6,7016,7,8185,-1,-1169
6,半導體30期貨,自營商,6,1136,18,3402,-12,-2266
6,半導體30期貨,投信,0,0,0,0,0,0
6,半導體30期貨,外資,19,3591,19,3597,0,-6
7,美國標普500期貨,自營商,0,0,0,0,0,0
7,美國標普500期貨,投信,0,0,0,0,0,0
7,美國標普500期貨,外資,68,55048,6,4853,62,50195
8,美國那斯達克100期貨,自營商,0,0,17,10142,-17,-10142
8,美國那斯達克100期貨,投信,0,0,0,0,0,0
8,美國那斯達克100期貨,外資,349,208336,307,183295,42,25041
9,美國道瓊期貨,自營商,0,0,16,10948,-16,-10948
9,美國道瓊期貨,投信,0,0,0,0,0,0
9,美國道瓊期貨,外資,129,88264,135,92333,-6,-4069
10,英國富時100期貨,自營商,2,748,6,2245,-4,-1497
10,英國富時100期貨,投信,0,0,0,0,0,0
10,英國富時100期貨,外資,16,5985,10,3739,6,2246
期貨 小計,期貨 小計,自營商,3727,5576852,3678,4870511,49,706341
期貨 小計,期貨 小計,投信,0,0,0,0,0,0
期貨 小計,期貨 小計,外資,21340,31984849,24866,35887621,-3526,-3902772
期貨合計,期貨合計,期貨合計,25067,37561701,28544,40758132,-3477,-3196431
