Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,4475,11692363,4829,12612998,-354,-920635
1,臺股期貨,投信,0,0,0,0,0,0
1,臺股期貨,外資,35217,91953177,33563,87668220,1654,4284957
2,電子期貨,自營商,94,223923,89,212159,5,11764
2,電子期貨,投信,0,0,0,0,0,0
2,電子期貨,外資,128,304581,150,357004,-22,-52423
3,小型臺指期貨,自營商,8115,5296226,7557,4933140,558,363086
3,小型臺指期貨,投信,0,0,0,0,0,0
3,小型臺指期貨,外資,63141,41228744,61561,40198340,1580,1030404
4,小型電子期貨,自營商,440,131250,402,119787,38,11463
4,小型電子期貨,投信,0,0,0,0,0,0
4,小型電子期貨,外資,258,76860,208,61998,50,14862
5,ETF期貨,自營商,139,139846,51,51325,88,88521
5,ETF期貨,投信,0,0,0,0,0,0
5,ETF期貨,外資,11,11038,11,11047,0,-9
6,半導體30期貨,自營商,121,18486,110,16811,11,1675
6,半導體30期貨,投信,0,0,0,0,0,0
6,半導體30期貨,外資,49,7464,49,7464,0,0
7,美國標普500期貨,自營商,0,0,0,0,0,0
7,美國標普500期貨,投信,0,0,0,0,0,0
7,美國標普500期貨,外資,117,86270,109,80370,8,5900
8,美國那斯達克100期貨,自營商,177,97715,27,14665,150,83050
8,美國那斯達克100期貨,投信,0,0,0,0,0,0
8,美國那斯達克100期貨,外資,2052,1129416,1515,836287,537,293129
9,美國道瓊期貨,自營商,58,35027,0,0,58,35027
9,美國道瓊期貨,投信,0,0,0,0,0,0
9,美國道瓊期貨,外資,1571,947164,1211,730022,360,217142
10,英國富時100期貨,自營商,101,34883,55,18995,46,15888
10,英國富時100期貨,投信,0,0,0,0,0,0
10,英國富時100期貨,外資,175,60472,101,34873,74,25599
期貨 小計,期貨 小計,自營商,13720,17669719,13120,17979880,600,-310161
期貨 小計,期貨 小計,投信,0,0,0,0,0,0
期貨 小計,期貨 小計,外資,102719,135805186,98478,129985625,4241,5819561
期貨合計,期貨合計,期貨合計,116439,153474905,111598,147965505,4841,5509400
