Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,1600,4774247,1453,4337105,147,437142
1,臺股期貨,投信,0,0,0,0,0,0
1,臺股期貨,外資,16858,50325225,16087,48015344,771,2309881
2,電子期貨,自營商,38,105935,46,128039,-8,-22104
2,電子期貨,投信,0,0,0,0,0,0
2,電子期貨,外資,185,515176,148,412240,37,102936
3,小型臺指期貨,自營商,1868,1392419,2275,1695276,-407,-302857
3,小型臺指期貨,投信,0,0,0,0,0,0
3,小型臺指期貨,外資,29697,22162254,29657,22122806,40,39448
4,小型電子期貨,自營商,216,75181,161,56015,55,19166
4,小型電子期貨,投信,0,0,0,0,0,0
4,小型電子期貨,外資,196,68229,165,57419,31,10810
5,ETF期貨,自營商,12,14194,9,10619,3,3575
5,ETF期貨,投信,0,0,0,0,0,0
5,ETF期貨,外資,6,7089,6,7089,0,0
6,半導體30期貨,自營商,10,1829,3,545,7,1284
6,半導體30期貨,投信,0,0,0,0,0,0
6,半導體30期貨,外資,1,183,1,183,0,0
7,美國標普500期貨,自營商,0,0,0,0,0,0
7,美國標普500期貨,投信,0,0,0,0,0,0
7,美國標普500期貨,外資,14,11490,15,12325,-1,-835
8,美國那斯達克100期貨,自營商,25,16164,10,6502,15,9662
8,美國那斯達克100期貨,投信,0,0,0,0,0,0
8,美國那斯達克100期貨,外資,1920,1236679,1735,1116105,185,120574
9,美國道瓊期貨,自營商,0,0,0,0,0,0
9,美國道瓊期貨,投信,0,0,0,0,0,0
9,美國道瓊期貨,外資,913,595602,722,470820,191,124782
10,英國富時100期貨,自營商,2,738,3,1108,-1,-370
10,英國富時100期貨,投信,0,0,0,0,0,0
10,英國富時100期貨,外資,17,6269,52,19168,-35,-12899
期貨 小計,期貨 小計,自營商,3771,6380707,3960,6235209,-189,145498
期貨 小計,期貨 小計,投信,0,0,0,0,0,0
期貨 小計,期貨 小計,外資,49807,74928196,48588,72233499,1219,2694697
期貨合計,期貨合計,期貨合計,53578,81308903,52548,78468708,1030,2840195
