Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,2762,7079976,2903,7438560,-141,-358584
1,臺股期貨,投信,0,0,0,0,0,0
1,臺股期貨,外資,29704,76086454,27522,70510660,2182,5575794
2,電子期貨,自營商,98,225768,115,264746,-17,-38978
2,電子期貨,投信,0,0,0,0,0,0
2,電子期貨,外資,184,424132,148,341365,36,82767
3,小型臺指期貨,自營商,4894,3136495,4416,2829945,478,306550
3,小型臺指期貨,投信,0,0,0,0,0,0
3,小型臺指期貨,外資,57249,36665978,51685,33096399,5564,3569579
4,小型電子期貨,自營商,261,75194,160,46084,101,29110
4,小型電子期貨,投信,0,0,0,0,0,0
4,小型電子期貨,外資,237,68187,205,58978,32,9209
5,ETF期貨,自營商,118,115478,91,89007,27,26471
5,ETF期貨,投信,0,0,0,0,0,0
5,ETF期貨,外資,21,20531,21,20528,0,3
6,半導體30期貨,自營商,122,18108,106,15726,16,2382
6,半導體30期貨,投信,0,0,0,0,0,0
6,半導體30期貨,外資,43,6373,43,6377,0,-4
7,美國標普500期貨,自營商,0,0,0,0,0,0
7,美國標普500期貨,投信,0,0,0,0,0,0
7,美國標普500期貨,外資,92,70871,81,62871,11,8000
8,美國那斯達克100期貨,自營商,376,215290,66,36907,310,178383
8,美國那斯達克100期貨,投信,0,0,0,0,0,0
8,美國那斯達克100期貨,外資,2531,1437086,1763,1001230,768,435856
9,美國道瓊期貨,自營商,8,5099,0,0,8,5099
9,美國道瓊期貨,投信,0,0,0,0,0,0
9,美國道瓊期貨,外資,1649,1066828,1495,967195,154,99633
10,英國富時100期貨,自營商,32,11263,56,19721,-24,-8458
10,英國富時100期貨,投信,0,0,0,0,0,0
10,英國富時100期貨,外資,72,25350,47,16545,25,8805
期貨 小計,期貨 小計,自營商,8671,10882671,7913,10740696,758,141975
期貨 小計,期貨 小計,投信,0,0,0,0,0,0
期貨 小計,期貨 小計,外資,91782,115871790,83010,106082148,8772,9789642
期貨合計,期貨合計,期貨合計,100453,126754461,90923,116822844,9530,9931617
