Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,3637,15188497,2926,12233108,711,2955389
1,臺股期貨,投信,0,0,0,0,0,0
1,臺股期貨,外資,34842,145498192,37011,154522016,-2169,-9023824
2,電子期貨,自營商,10,44949,11,49230,-1,-4281
2,電子期貨,投信,0,0,0,0,0,0
2,電子期貨,外資,108,484303,104,466384,4,17919
3,小型臺指期貨,自營商,6567,6851553,5479,5711210,1088,1140343
3,小型臺指期貨,投信,0,0,0,0,0,0
3,小型臺指期貨,外資,65263,68112889,65811,68686290,-548,-573401
4,微型臺指期貨,自營商,9752,2036482,4404,917738,5348,1118744
4,微型臺指期貨,投信,0,0,0,0,0,0
4,微型臺指期貨,外資,39101,8162817,36052,7524382,3049,638435
5,小型電子期貨,自營商,33,18518,30,16822,3,1696
5,小型電子期貨,投信,0,0,0,0,0,0
5,小型電子期貨,外資,315,176283,322,180257,-7,-3974
6,股票期貨,自營商,920,201531,617,203563,303,-2032
6,股票期貨,投信,0,0,0,0,0,0
6,股票期貨,外資,10065,2501901,9128,2272236,937,229665
7,ETF期貨,自營商,1556,606374,549,325397,1007,280977
7,ETF期貨,投信,0,0,0,0,0,0
7,ETF期貨,外資,237,209995,208,166493,29,43502
8,臺灣中型100期貨,自營商,95,17040,86,15423,9,1617
8,臺灣中型100期貨,投信,0,0,0,0,0,0
8,臺灣中型100期貨,外資,0,0,0,0,0,0
9,半導體30期貨,自營商,11,3083,38,10646,-27,-7563
9,半導體30期貨,投信,0,0,0,0,0,0
9,半導體30期貨,外資,0,0,0,0,0,0
10,東證期貨,自營商,1,537,0,0,1,537
10,東證期貨,投信,0,0,0,0,0,0
10,東證期貨,外資,2,1071,1,536,1,535
11,美國標普500期貨,自營商,18,20244,24,27133,-6,-6889
11,美國標普500期貨,投信,0,0,0,0,0,0
11,美國標普500期貨,外資,28,31636,40,45009,-12,-13373
12,美國那斯達克100期貨,自營商,223,214033,261,249971,-38,-35938
12,美國那斯達克100期貨,投信,0,0,0,0,0,0
12,美國那斯達克100期貨,外資,1750,1681878,1889,1813583,-139,-131705
13,美國道瓊期貨,自營商,0,0,0,0,0,0
13,美國道瓊期貨,投信,0,0,0,0,0,0
13,美國道瓊期貨,外資,525,439443,402,336499,123,102944
14,美國費城半導體期貨,自營商,94,31931,93,31587,1,344
14,美國費城半導體期貨,投信,0,0,0,0,0,0
14,美國費城半導體期貨,外資,261,88582,289,98028,-28,-9446
15,英國富時100期貨,自營商,21,9030,50,21494,-29,-12464
15,英國富時100期貨,投信,0,0,0,0,0,0
15,英國富時100期貨,外資,38,16324,14,6028,24,10296
期貨 小計,期貨 小計,自營商,22938,25243802,14568,19813322,8370,5430480
期貨 小計,期貨 小計,投信,0,0,0,0,0,0
期貨 小計,期貨 小計,外資,152535,227405314,151271,236117741,1264,-8712427
期貨合計,期貨合計,期貨合計,175473,252649116,165839,255931063,9634,-3281947
