Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,1095,3395427,940,2913893,155,481534
1,臺股期貨,投信,0,0,0,0,0,0
1,臺股期貨,外資,5163,16012703,6292,19514670,-1129,-3501967
2,電子期貨,自營商,12,34798,42,121650,-30,-86852
2,電子期貨,投信,0,0,0,0,0,0
2,電子期貨,外資,30,86883,31,89855,-1,-2972
3,小型臺指期貨,自營商,1395,1081084,1811,1401616,-416,-320532
3,小型臺指期貨,投信,0,0,0,0,0,0
3,小型臺指期貨,外資,9433,7313723,12663,9818218,-3230,-2504495
4,小型電子期貨,自營商,39,14116,76,27524,-37,-13408
4,小型電子期貨,投信,0,0,0,0,0,0
4,小型電子期貨,外資,73,26455,98,35499,-25,-9044
5,ETF期貨,自營商,1,1189,9,10702,-8,-9513
5,ETF期貨,投信,0,0,0,0,0,0
5,ETF期貨,外資,0,0,0,0,0,0
6,半導體30期貨,自營商,161,32333,152,30529,9,1804
6,半導體30期貨,投信,0,0,0,0,0,0
6,半導體30期貨,外資,0,0,0,0,0,0
7,美國標普500期貨,自營商,0,0,0,0,0,0
7,美國標普500期貨,投信,0,0,0,0,0,0
7,美國標普500期貨,外資,2,1633,4,3271,-2,-1638
8,美國那斯達克100期貨,自營商,0,0,0,0,0,0
8,美國那斯達克100期貨,投信,0,0,0,0,0,0
8,美國那斯達克100期貨,外資,232,143947,266,164983,-34,-21036
9,美國道瓊期貨,自營商,0,0,1,676,-1,-676
9,美國道瓊期貨,投信,0,0,0,0,0,0
9,美國道瓊期貨,外資,92,62166,202,136412,-110,-74246
10,英國富時100期貨,自營商,3,1198,1,399,2,799
10,英國富時100期貨,投信,0,0,0,0,0,0
10,英國富時100期貨,外資,17,6792,18,7191,-1,-399
期貨 小計,期貨 小計,自營商,2706,4560145,3032,4506989,-326,53156
期貨 小計,期貨 小計,投信,0,0,0,0,0,0
期貨 小計,期貨 小計,外資,15042,23654302,19574,29770099,-4532,-6115797
期貨合計,期貨合計,期貨合計,17748,28214447,22606,34277088,-4858,-6062641
