Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,2429,10755500,1928,8542501,501,2212999
1,臺股期貨,投信,0,0,0,0,0,0
1,臺股期貨,外資,21495,95223784,22743,100741587,-1248,-5517803
2,電子期貨,自營商,5,23814,8,38336,-3,-14522
2,電子期貨,投信,0,0,0,0,0,0
2,電子期貨,外資,71,339836,105,502141,-34,-162305
3,小型臺指期貨,自營商,3854,4268675,4292,4754582,-438,-485907
3,小型臺指期貨,投信,0,0,0,0,0,0
3,小型臺指期貨,外資,37437,41477231,48732,53984073,-11295,-12506842
4,微型臺指期貨,自營商,2476,548435,14981,3318452,-12505,-2770017
4,微型臺指期貨,投信,0,0,0,0,0,0
4,微型臺指期貨,外資,19965,4423588,30021,6649529,-10056,-2225941
5,小型電子期貨,自營商,29,17339,22,13128,7,4211
5,小型電子期貨,投信,0,0,0,0,0,0
5,小型電子期貨,外資,232,138798,238,142473,-6,-3675
6,股票期貨,自營商,225,371829,1271,489024,-1046,-117195
6,股票期貨,投信,0,0,0,0,0,0
6,股票期貨,外資,5433,2448684,6140,3368172,-707,-919488
7,ETF期貨,自營商,209,100972,736,242170,-527,-141198
7,ETF期貨,投信,0,0,0,0,0,0
7,ETF期貨,外資,85,92726,123,165272,-38,-72546
8,臺灣中型100期貨,自營商,1,193,1,192,0,1
8,臺灣中型100期貨,投信,0,0,0,0,0,0
8,臺灣中型100期貨,外資,0,0,0,0,0,0
9,半導體30期貨,自營商,1,301,3,905,-2,-604
9,半導體30期貨,投信,0,0,0,0,0,0
9,半導體30期貨,外資,0,0,0,0,0,0
10,東證期貨,自營商,0,0,0,0,0,0
10,東證期貨,投信,0,0,0,0,0,0
10,東證期貨,外資,6,3332,7,3884,-1,-552
11,美國標普500期貨,自營商,4,4646,2,2330,2,2316
11,美國標普500期貨,投信,0,0,0,0,0,0
11,美國標普500期貨,外資,31,35887,21,24301,10,11586
12,美國那斯達克100期貨,自營商,13,13261,63,63976,-50,-50715
12,美國那斯達克100期貨,投信,0,0,0,0,0,0
12,美國那斯達克100期貨,外資,906,919752,1236,1253863,-330,-334111
13,美國道瓊期貨,自營商,3,2581,0,0,3,2581
13,美國道瓊期貨,投信,0,0,0,0,0,0
13,美國道瓊期貨,外資,582,500066,438,375635,144,124431
14,美國費城半導體期貨,自營商,30,11228,27,10077,3,1151
14,美國費城半導體期貨,投信,0,0,0,0,0,0
14,美國費城半導體期貨,外資,130,48322,171,63390,-41,-15068
15,英國富時100期貨,自營商,144,62629,59,25643,85,36986
15,英國富時100期貨,投信,0,0,0,0,0,0
15,英國富時100期貨,外資,64,27816,146,63480,-82,-35664
期貨 小計,期貨 小計,自營商,9423,16181403,23393,17501316,-13970,-1319913
期貨 小計,期貨 小計,投信,0,0,0,0,0,0
期貨 小計,期貨 小計,外資,86437,145679822,110121,167337800,-23684,-21657978
期貨合計,期貨合計,期貨合計,95860,161861225,133514,184839116,-37654,-22977891
