Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,3925,12333662,3997,12560469,-72,-226807
1,臺股期貨,投信,0,0,0,0,0,0
1,臺股期貨,外資,23360,73470876,24200,76100758,-840,-2629882
2,電子期貨,自營商,108,319357,118,349300,-10,-29943
2,電子期貨,投信,0,0,0,0,0,0
2,電子期貨,外資,135,399369,185,546952,-50,-147583
3,小型臺指期貨,自營商,6780,5322888,8864,6955468,-2084,-1632580
3,小型臺指期貨,投信,0,0,0,0,0,0
3,小型臺指期貨,外資,45155,35512736,46218,36335330,-1063,-822594
4,小型電子期貨,自營商,567,209973,605,223749,-38,-13776
4,小型電子期貨,投信,0,0,0,0,0,0
4,小型電子期貨,外資,222,82155,317,117324,-95,-35169
5,ETF期貨,自營商,27,32424,62,74403,-35,-41979
5,ETF期貨,投信,0,0,0,0,0,0
5,ETF期貨,外資,0,0,0,0,0,0
6,半導體30期貨,自營商,13,2724,7,1463,6,1261
6,半導體30期貨,投信,0,0,0,0,0,0
6,半導體30期貨,外資,0,0,0,0,0,0
7,美國標普500期貨,自營商,2,1594,9,7204,-7,-5610
7,美國標普500期貨,投信,0,0,0,0,0,0
7,美國標普500期貨,外資,121,97106,104,83298,17,13808
8,美國那斯達克100期貨,自營商,45,27419,86,52711,-41,-25292
8,美國那斯達克100期貨,投信,0,0,0,0,0,0
8,美國那斯達克100期貨,外資,1596,977824,1575,963197,21,14627
9,美國道瓊期貨,自營商,0,0,0,0,0,0
9,美國道瓊期貨,投信,0,0,0,0,0,0
9,美國道瓊期貨,外資,1238,811145,1337,874515,-99,-63370
10,英國富時100期貨,自營商,7,2757,135,53120,-128,-50363
10,英國富時100期貨,投信,0,0,0,0,0,0
10,英國富時100期貨,外資,61,24039,46,18141,15,5898
期貨 小計,期貨 小計,自營商,11474,18252798,13883,20277887,-2409,-2025089
期貨 小計,期貨 小計,投信,0,0,0,0,0,0
期貨 小計,期貨 小計,外資,71888,111375250,73982,115039515,-2094,-3664265
期貨合計,期貨合計,期貨合計,83362,129628048,87865,135317402,-4503,-5689354
