Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,3933,12432043,3233,10215874,700,2216169
1,臺股期貨,投信,0,0,0,0,0,0
1,臺股期貨,外資,18628,58877933,23121,73096166,-4493,-14218233
2,電子期貨,自營商,65,193104,66,196020,-1,-2916
2,電子期貨,投信,0,0,0,0,0,0
2,電子期貨,外資,102,302755,158,468625,-56,-165870
3,小型臺指期貨,自營商,5797,4577537,7478,5896861,-1681,-1319324
3,小型臺指期貨,投信,0,0,0,0,0,0
3,小型臺指期貨,外資,34021,26880138,46298,36589340,-12277,-9709202
4,小型電子期貨,自營商,175,65000,416,154454,-241,-89454
4,小型電子期貨,投信,0,0,0,0,0,0
4,小型電子期貨,外資,147,54625,161,59821,-14,-5196
5,ETF期貨,自營商,34,41053,74,89301,-40,-48248
5,ETF期貨,投信,0,0,0,0,0,0
5,ETF期貨,外資,0,0,0,0,0,0
6,半導體30期貨,自營商,7,1459,10,2087,-3,-628
6,半導體30期貨,投信,0,0,0,0,0,0
6,半導體30期貨,外資,0,0,0,0,0,0
7,美國標普500期貨,自營商,21,17065,0,0,21,17065
7,美國標普500期貨,投信,0,0,0,0,0,0
7,美國標普500期貨,外資,11,8858,45,36352,-34,-27494
8,美國那斯達克100期貨,自營商,1,615,5,3128,-4,-2513
8,美國那斯達克100期貨,投信,0,0,0,0,0,0
8,美國那斯達克100期貨,外資,1079,662238,1457,893275,-378,-231037
9,美國道瓊期貨,自營商,8,5355,0,0,8,5355
9,美國道瓊期貨,投信,0,0,0,0,0,0
9,美國道瓊期貨,外資,953,633062,1551,1029094,-598,-396032
10,英國富時100期貨,自營商,14,5540,47,18610,-33,-13070
10,英國富時100期貨,投信,0,0,0,0,0,0
10,英國富時100期貨,外資,107,42370,71,28106,36,14264
期貨 小計,期貨 小計,自營商,10055,17338771,11329,16576335,-1274,762436
期貨 小計,期貨 小計,投信,0,0,0,0,0,0
期貨 小計,期貨 小計,外資,55048,87461979,72862,112200779,-17814,-24738800
期貨合計,期貨合計,期貨合計,65103,104800750,84191,128777114,-19088,-23976364
