Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,3685,10720392,3266,9502844,419,1217548
1,臺股期貨,投信,0,0,0,0,0,0
1,臺股期貨,外資,48481,141208024,48070,140022561,411,1185463
2,電子期貨,自營商,69,183077,67,177586,2,5491
2,電子期貨,投信,0,0,0,0,0,0
2,電子期貨,外資,300,794929,253,670246,47,124683
3,小型臺指期貨,自營商,6774,4907817,6419,4661644,355,246173
3,小型臺指期貨,投信,0,0,0,0,0,0
3,小型臺指期貨,外資,84811,61741810,81096,59041493,3715,2700317
4,小型電子期貨,自營商,671,222090,394,130286,277,91804
4,小型電子期貨,投信,0,0,0,0,0,0
4,小型電子期貨,外資,503,166463,539,178354,-36,-11891
5,ETF期貨,自營商,26,29919,29,33352,-3,-3433
5,ETF期貨,投信,0,0,0,0,0,0
5,ETF期貨,外資,0,0,0,0,0,0
6,半導體30期貨,自營商,46,8175,31,5506,15,2669
6,半導體30期貨,投信,0,0,0,0,0,0
6,半導體30期貨,外資,16,2834,16,2835,0,-1
7,美國標普500期貨,自營商,0,0,0,0,0,0
7,美國標普500期貨,投信,0,0,0,0,0,0
7,美國標普500期貨,外資,50,37802,53,40058,-3,-2256
8,美國那斯達克100期貨,自營商,67,38658,52,30165,15,8493
8,美國那斯達克100期貨,投信,0,0,0,0,0,0
8,美國那斯達克100期貨,外資,3277,1886499,3011,1733569,266,152930
9,美國道瓊期貨,自營商,0,0,0,0,0,0
9,美國道瓊期貨,投信,0,0,0,0,0,0
9,美國道瓊期貨,外資,2549,1563028,2479,1520065,70,42963
10,英國富時100期貨,自營商,64,22786,58,20666,6,2120
10,英國富時100期貨,投信,0,0,0,0,0,0
10,英國富時100期貨,外資,69,24547,151,53525,-82,-28978
期貨 小計,期貨 小計,自營商,11402,16132914,10316,14562049,1086,1570865
期貨 小計,期貨 小計,投信,0,0,0,0,0,0
期貨 小計,期貨 小計,外資,140056,207425936,135668,203262706,4388,4163230
期貨合計,期貨合計,期貨合計,151458,223558850,145984,217824755,5474,5734095
