Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,401,1551460,386,1493339,15,58121
1,臺股期貨,投信,0,0,0,0,0,0
1,臺股期貨,外資,2535,9811038,2462,9530778,73,280260
2,電子期貨,自營商,0,0,0,0,0,0
2,電子期貨,投信,0,0,0,0,0,0
2,電子期貨,外資,1,4140,0,0,1,4140
3,小型臺指期貨,自營商,1048,1012851,796,769593,252,243258
3,小型臺指期貨,投信,0,0,0,0,0,0
3,小型臺指期貨,外資,5094,4927362,4620,4469472,474,457890
4,微型臺指期貨,自營商,823,158922,408,78749,415,80173
4,微型臺指期貨,投信,0,0,0,0,0,0
4,微型臺指期貨,外資,4259,823975,2724,526955,1535,297020
5,小型電子期貨,自營商,6,3099,8,4146,-2,-1047
5,小型電子期貨,投信,0,0,0,0,0,0
5,小型電子期貨,外資,8,4148,2,1036,6,3112
6,股票期貨,自營商,11,17121,0,0,11,17121
6,股票期貨,投信,0,0,0,0,0,0
6,股票期貨,外資,335,107762,282,80612,53,27150
7,ETF期貨,自營商,16,2574,5,2254,11,320
7,ETF期貨,投信,0,0,0,0,0,0
7,ETF期貨,外資,6,1330,3,483,3,847
8,臺灣中型100期貨,自營商,22,3637,44,7268,-22,-3631
8,臺灣中型100期貨,投信,0,0,0,0,0,0
8,臺灣中型100期貨,外資,0,0,0,0,0,0
9,半導體30期貨,自營商,1,263,0,0,1,263
9,半導體30期貨,投信,0,0,0,0,0,0
9,半導體30期貨,外資,0,0,0,0,0,0
10,東證期貨,自營商,2,1024,6,3069,-4,-2045
10,東證期貨,投信,0,0,0,0,0,0
10,東證期貨,外資,0,0,0,0,0,0
11,美國標普500期貨,自營商,0,0,0,0,0,0
11,美國標普500期貨,投信,0,0,0,0,0,0
11,美國標普500期貨,外資,0,0,0,0,0,0
12,美國那斯達克100期貨,自營商,0,0,0,0,0,0
12,美國那斯達克100期貨,投信,0,0,0,0,0,0
12,美國那斯達克100期貨,外資,1,923,0,0,1,923
13,美國道瓊期貨,自營商,0,0,0,0,0,0
13,美國道瓊期貨,投信,0,0,0,0,0,0
13,美國道瓊期貨,外資,1,789,0,0,1,789
14,美國費城半導體期貨,自營商,0,0,0,0,0,0
14,美國費城半導體期貨,投信,0,0,0,0,0,0
14,美國費城半導體期貨,外資,0,0,0,0,0,0
15,英國富時100期貨,自營商,0,0,0,0,0,0
15,英國富時100期貨,投信,0,0,0,0,0,0
15,英國富時100期貨,外資,0,0,0,0,0,0
期貨 小計,期貨 小計,自營商,2330,2750951,1653,2358418,677,392533
期貨 小計,期貨 小計,投信,0,0,0,0,0,0
期貨 小計,期貨 小計,外資,12240,15681467,10093,14609336,2147,1072131
期貨合計,期貨合計,期貨合計,14570,18432418,11746,16967754,2824,1464664
