Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,2581,7782493,3145,9485448,-564,-1702955
1,臺股期貨,投信,0,0,0,0,0,0
1,臺股期貨,外資,18553,55957585,17017,51323426,1536,4634159
2,電子期貨,自營商,76,212597,37,103386,39,109211
2,電子期貨,投信,0,0,0,0,0,0
2,電子期貨,外資,195,545228,217,606965,-22,-61737
3,小型臺指期貨,自營商,2287,1723897,3259,2458519,-972,-734622
3,小型臺指期貨,投信,0,0,0,0,0,0
3,小型臺指期貨,外資,33263,25079463,31248,23561333,2015,1518130
4,小型電子期貨,自營商,189,66137,163,57032,26,9105
4,小型電子期貨,投信,0,0,0,0,0,0
4,小型電子期貨,外資,386,134875,305,106609,81,28266
5,ETF期貨,自營商,28,33218,18,21335,10,11883
5,ETF期貨,投信,0,0,0,0,0,0
5,ETF期貨,外資,46,54588,15,17779,31,36809
6,半導體30期貨,自營商,33,6106,22,4081,11,2025
6,半導體30期貨,投信,0,0,0,0,0,0
6,半導體30期貨,外資,24,4442,24,4438,0,4
7,美國標普500期貨,自營商,0,0,0,0,0,0
7,美國標普500期貨,投信,0,0,0,0,0,0
7,美國標普500期貨,外資,25,20751,30,24897,-5,-4146
8,美國那斯達克100期貨,自營商,0,0,21,13600,-21,-13600
8,美國那斯達克100期貨,投信,0,0,0,0,0,0
8,美國那斯達克100期貨,外資,1995,1290160,1928,1245975,67,44185
9,美國道瓊期貨,自營商,0,0,0,0,0,0
9,美國道瓊期貨,投信,0,0,0,0,0,0
9,美國道瓊期貨,外資,1026,677642,1220,805399,-194,-127757
10,英國富時100期貨,自營商,78,29166,31,11609,47,17557
10,英國富時100期貨,投信,0,0,0,0,0,0
10,英國富時100期貨,外資,89,33284,58,21699,31,11585
期貨 小計,期貨 小計,自營商,5272,9853614,6696,12155010,-1424,-2301396
期貨 小計,期貨 小計,投信,0,0,0,0,0,0
期貨 小計,期貨 小計,外資,55602,83798018,52062,77718520,3540,6079498
期貨合計,期貨合計,期貨合計,60874,93651632,58758,89873530,2116,3778102
