Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,1545,6820401,1557,6878380,-12,-57979
1,臺股期貨,投信,0,0,0,0,0,0
1,臺股期貨,外資,18694,82603196,16508,72951575,2186,9651621
2,電子期貨,自營商,8,39512,2,9867,6,29645
2,電子期貨,投信,0,0,0,0,0,0
2,電子期貨,外資,35,172995,40,197758,-5,-24763
3,金融期貨,自營商,1,2093,0,0,1,2093
3,金融期貨,投信,0,0,0,0,0,0
3,金融期貨,外資,0,0,0,0,0,0
4,小型臺指期貨,自營商,2855,3150534,2534,2795312,321,355222
4,小型臺指期貨,投信,0,0,0,0,0,0
4,小型臺指期貨,外資,33626,37138762,31713,35028177,1913,2110585
5,微型臺指期貨,自營商,4098,904631,3396,747783,702,156848
5,微型臺指期貨,投信,0,0,0,0,0,0
5,微型臺指期貨,外資,20565,4541186,19270,4254701,1295,286485
6,小型電子期貨,自營商,49,30275,28,17310,21,12965
6,小型電子期貨,投信,0,0,0,0,0,0
6,小型電子期貨,外資,171,105673,157,97026,14,8647
7,小型金融期貨,自營商,1,522,5,2611,-4,-2089
7,小型金融期貨,投信,0,0,0,0,0,0
7,小型金融期貨,外資,0,0,0,0,0,0
8,股票期貨,自營商,81,166933,72,153855,9,13078
8,股票期貨,投信,0,0,0,0,0,0
8,股票期貨,外資,2699,2298305,2573,2349959,126,-51654
9,ETF期貨,自營商,193,42768,126,25791,67,16977
9,ETF期貨,投信,0,0,0,0,0,0
9,ETF期貨,外資,109,29954,127,35608,-18,-5654
10,臺灣中型100期貨,自營商,85,15521,85,15488,0,33
10,臺灣中型100期貨,投信,0,0,0,0,0,0
10,臺灣中型100期貨,外資,0,0,0,0,0,0
11,半導體30期貨,自營商,9,2649,8,2355,1,294
11,半導體30期貨,投信,0,0,0,0,0,0
11,半導體30期貨,外資,0,0,0,0,0,0
12,東證期貨,自營商,0,0,0,0,0,0
12,東證期貨,投信,0,0,0,0,0,0
12,東證期貨,外資,3,1683,1,561,2,1122
13,美國標普500期貨,自營商,1,1234,0,0,1,1234
13,美國標普500期貨,投信,0,0,0,0,0,0
13,美國標普500期貨,外資,23,28444,5,6179,18,22265
14,美國那斯達克100期貨,自營商,10,11280,10,11312,0,-32
14,美國那斯達克100期貨,投信,0,0,0,0,0,0
14,美國那斯達克100期貨,外資,401,453080,217,245014,184,208066
15,美國道瓊期貨,自營商,1,870,0,0,1,870
15,美國道瓊期貨,投信,0,0,0,0,0,0
15,美國道瓊期貨,外資,142,123693,72,62709,70,60984
16,美國費城半導體期貨,自營商,18,8044,19,8528,-1,-484
16,美國費城半導體期貨,投信,0,0,0,0,0,0
16,美國費城半導體期貨,外資,115,51399,92,41100,23,10299
17,英國富時100期貨,自營商,9,3947,1,438,8,3509
17,英國富時100期貨,投信,0,0,0,0,0,0
17,英國富時100期貨,外資,17,7443,16,7012,1,431
期貨 小計,期貨 小計,自營商,8964,11201214,7843,10669030,1121,532184
期貨 小計,期貨 小計,投信,0,0,0,0,0,0
期貨 小計,期貨 小計,外資,76600,127555813,70791,115277379,5809,12278434
期貨合計,期貨合計,期貨合計,85564,138757027,78634,125946409,6930,12810618
