Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,1682,4925697,1740,5096797,-58,-171100
1,臺股期貨,投信,0,0,0,0,0,0
1,臺股期貨,外資,14795,43347361,15039,44061315,-244,-713954
2,電子期貨,自營商,43,117867,62,169989,-19,-52122
2,電子期貨,投信,0,0,0,0,0,0
2,電子期貨,外資,138,378617,122,334715,16,43902
3,小型臺指期貨,自營商,3855,2821372,3474,2543492,381,277880
3,小型臺指期貨,投信,0,0,0,0,0,0
3,小型臺指期貨,外資,28471,20854258,26280,19247856,2191,1606402
4,小型電子期貨,自營商,163,55873,151,51769,12,4104
4,小型電子期貨,投信,0,0,0,0,0,0
4,小型電子期貨,外資,182,62376,133,45571,49,16805
5,ETF期貨,自營商,103,119410,35,40565,68,78845
5,ETF期貨,投信,0,0,0,0,0,0
5,ETF期貨,外資,0,0,0,0,0,0
6,半導體30期貨,自營商,13,2421,11,2048,2,373
6,半導體30期貨,投信,0,0,0,0,0,0
6,半導體30期貨,外資,18,3352,18,3352,0,0
7,美國標普500期貨,自營商,0,0,0,0,0,0
7,美國標普500期貨,投信,0,0,0,0,0,0
7,美國標普500期貨,外資,33,26573,29,23355,4,3218
8,美國那斯達克100期貨,自營商,0,0,8,4714,-8,-4714
8,美國那斯達克100期貨,投信,0,0,0,0,0,0
8,美國那斯達克100期貨,外資,912,539761,657,388440,255,151321
9,美國道瓊期貨,自營商,28,19100,0,0,28,19100
9,美國道瓊期貨,投信,0,0,0,0,0,0
9,美國道瓊期貨,外資,483,329545,438,298589,45,30956
10,英國富時100期貨,自營商,107,40011,47,17567,60,22444
10,英國富時100期貨,投信,0,0,0,0,0,0
10,英國富時100期貨,外資,141,52756,99,37001,42,15755
期貨 小計,期貨 小計,自營商,5994,8101751,5528,7926941,466,174810
期貨 小計,期貨 小計,投信,0,0,0,0,0,0
期貨 小計,期貨 小計,外資,45173,65594599,42815,64440194,2358,1154405
期貨合計,期貨合計,期貨合計,51167,73696350,48343,72367135,2824,1329215
