Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,4890,14486570,3864,11441546,1026,3045024
1,臺股期貨,投信,0,0,0,0,0,0
1,臺股期貨,外資,22392,66396859,25801,76512504,-3409,-10115645
2,電子期貨,自營商,65,177733,123,336656,-58,-158923
2,電子期貨,投信,0,0,0,0,0,0
2,電子期貨,外資,139,380241,181,495125,-42,-114884
3,小型臺指期貨,自營商,8244,6103312,7471,5525059,773,578253
3,小型臺指期貨,投信,0,0,0,0,0,0
3,小型臺指期貨,外資,39546,29320091,48757,36142337,-9211,-6822246
4,小型電子期貨,自營商,171,58521,377,128918,-206,-70397
4,小型電子期貨,投信,0,0,0,0,0,0
4,小型電子期貨,外資,179,61217,332,113664,-153,-52447
5,ETF期貨,自營商,164,190505,225,261578,-61,-71073
5,ETF期貨,投信,0,0,0,0,0,0
5,ETF期貨,外資,87,101065,87,101062,0,3
6,半導體30期貨,自營商,41,7669,48,8974,-7,-1305
6,半導體30期貨,投信,0,0,0,0,0,0
6,半導體30期貨,外資,8,1492,8,1491,0,1
7,美國標普500期貨,自營商,3,2362,3,2363,0,-1
7,美國標普500期貨,投信,0,0,0,0,0,0
7,美國標普500期貨,外資,79,62198,106,83504,-27,-21306
8,美國那斯達克100期貨,自營商,18,10181,48,26993,-30,-16812
8,美國那斯達克100期貨,投信,0,0,0,0,0,0
8,美國那斯達克100期貨,外資,1152,649948,1293,727201,-141,-77253
9,美國道瓊期貨,自營商,70,47360,70,47342,0,18
9,美國道瓊期貨,投信,0,0,0,0,0,0
9,美國道瓊期貨,外資,1404,950240,1781,1205244,-377,-255004
10,英國富時100期貨,自營商,39,15011,56,21542,-17,-6531
10,英國富時100期貨,投信,0,0,0,0,0,0
10,英國富時100期貨,外資,110,42324,97,37334,13,4990
期貨 小計,期貨 小計,自營商,13705,21099224,12285,17800971,1420,3298253
期貨 小計,期貨 小計,投信,0,0,0,0,0,0
期貨 小計,期貨 小計,外資,65096,97965675,78443,115419466,-13347,-17453791
期貨合計,期貨合計,期貨合計,78801,119064899,90728,133220437,-11927,-14155538
