Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,3140,8961384,3197,9127884,-57,-166500
1,臺股期貨,投信,0,0,0,0,0,0
1,臺股期貨,外資,28701,81972225,26572,75879586,2129,6092639
2,電子期貨,自營商,63,164326,113,295051,-50,-130725
2,電子期貨,投信,0,0,0,0,0,0
2,電子期貨,外資,323,844212,208,543259,115,300953
3,小型臺指期貨,自營商,6233,4448577,5266,3760053,967,688524
3,小型臺指期貨,投信,0,0,0,0,0,0
3,小型臺指期貨,外資,58838,42007328,50475,36025174,8363,5982154
4,小型電子期貨,自營商,253,82445,163,53142,90,29303
4,小型電子期貨,投信,0,0,0,0,0,0
4,小型電子期貨,外資,428,139725,179,58279,249,81446
5,ETF期貨,自營商,160,177419,46,50844,114,126575
5,ETF期貨,投信,0,0,0,0,0,0
5,ETF期貨,外資,23,25359,23,25363,0,-4
6,半導體30期貨,自營商,52,9025,52,9025,0,0
6,半導體30期貨,投信,0,0,0,0,0,0
6,半導體30期貨,外資,21,3644,21,3643,0,1
7,美國標普500期貨,自營商,13,10038,12,9270,1,768
7,美國標普500期貨,投信,0,0,0,0,0,0
7,美國標普500期貨,外資,70,54156,62,47888,8,6268
8,美國那斯達克100期貨,自營商,21,11576,19,10475,2,1101
8,美國那斯達克100期貨,投信,0,0,0,0,0,0
8,美國那斯達克100期貨,外資,1710,941106,1533,842390,177,98716
9,美國道瓊期貨,自營商,27,17960,27,17962,0,-2
9,美國道瓊期貨,投信,0,0,0,0,0,0
9,美國道瓊期貨,外資,1788,1191525,1739,1158613,49,32912
10,英國富時100期貨,自營商,117,44300,72,27285,45,17015
10,英國富時100期貨,投信,0,0,0,0,0,0
10,英國富時100期貨,外資,102,38650,146,55271,-44,-16621
期貨 小計,期貨 小計,自營商,10079,13927050,8967,13360991,1112,566059
期貨 小計,期貨 小計,投信,0,0,0,0,0,0
期貨 小計,期貨 小計,外資,92004,127217930,80958,114639466,11046,12578464
期貨合計,期貨合計,期貨合計,102083,141144980,89925,128000457,12158,13144523
