Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,367,1044980,350,996776,17,48204
1,臺股期貨,投信,0,0,0,0,0,0
1,臺股期貨,外資,1668,4750850,1861,5301656,-193,-550806
2,電子期貨,自營商,5,13009,5,13011,0,-2
2,電子期貨,投信,0,0,0,0,0,0
2,電子期貨,外資,10,26024,6,15616,4,10408
3,小型臺指期貨,自營商,623,443253,733,521980,-110,-78727
3,小型臺指期貨,投信,0,0,0,0,0,0
3,小型臺指期貨,外資,4613,3285011,5083,3619719,-470,-334708
4,小型電子期貨,自營商,20,6500,16,5204,4,1296
4,小型電子期貨,投信,0,0,0,0,0,0
4,小型電子期貨,外資,26,8457,19,6182,7,2275
5,ETF期貨,自營商,6,6652,2,2219,4,4433
5,ETF期貨,投信,0,0,0,0,0,0
5,ETF期貨,外資,0,0,0,0,0,0
6,半導體30期貨,自營商,2,345,0,0,2,345
6,半導體30期貨,投信,0,0,0,0,0,0
6,半導體30期貨,外資,0,0,0,0,0,0
7,美國標普500期貨,自營商,0,0,0,0,0,0
7,美國標普500期貨,投信,0,0,0,0,0,0
7,美國標普500期貨,外資,0,0,0,0,0,0
8,美國那斯達克100期貨,自營商,0,0,0,0,0,0
8,美國那斯達克100期貨,投信,0,0,0,0,0,0
8,美國那斯達克100期貨,外資,0,0,0,0,0,0
9,美國道瓊期貨,自營商,0,0,0,0,0,0
9,美國道瓊期貨,投信,0,0,0,0,0,0
9,美國道瓊期貨,外資,1,666,0,0,1,666
10,英國富時100期貨,自營商,0,0,0,0,0,0
10,英國富時100期貨,投信,0,0,0,0,0,0
10,英國富時100期貨,外資,0,0,0,0,0,0
期貨 小計,期貨 小計,自營商,1023,1514739,1106,1539190,-83,-24451
期貨 小計,期貨 小計,投信,0,0,0,0,0,0
期貨 小計,期貨 小計,外資,6318,8071008,6969,8943173,-651,-872165
期貨合計,期貨合計,期貨合計,7341,9585747,8075,10482363,-734,-896616
