Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,1081,5003731,1488,6881770,-407,-1878039
1,臺股期貨,投信,0,0,0,0,0,0
1,臺股期貨,外資,11127,51448805,11228,51932458,-101,-483653
2,電子期貨,自營商,3,15547,11,57117,-8,-41570
2,電子期貨,投信,0,0,0,0,0,0
2,電子期貨,外資,26,134860,17,88101,9,46759
3,小型臺指期貨,自營商,2350,2721598,2355,2725269,-5,-3671
3,小型臺指期貨,投信,0,0,0,0,0,0
3,小型臺指期貨,外資,23397,27047939,23030,26631038,367,416901
4,微型臺指期貨,自營商,2162,501421,1905,441076,257,60345
4,微型臺指期貨,投信,0,0,0,0,0,0
4,微型臺指期貨,外資,14747,3410519,11826,2734472,2921,676047
5,小型電子期貨,自營商,58,37622,57,36954,1,668
5,小型電子期貨,投信,0,0,0,0,0,0
5,小型電子期貨,外資,68,44061,59,38217,9,5844
6,股票期貨,自營商,78,172600,614,120357,-536,52243
6,股票期貨,投信,0,0,0,0,0,0
6,股票期貨,外資,2696,831649,2773,905451,-77,-73802
7,ETF期貨,自營商,272,228737,355,272779,-83,-44042
7,ETF期貨,投信,0,0,0,0,0,0
7,ETF期貨,外資,34,39002,33,40626,1,-1624
8,臺灣中型100期貨,自營商,144,27576,120,22999,24,4577
8,臺灣中型100期貨,投信,0,0,0,0,0,0
8,臺灣中型100期貨,外資,0,0,0,0,0,0
9,半導體30期貨,自營商,41,12770,1,310,40,12460
9,半導體30期貨,投信,0,0,0,0,0,0
9,半導體30期貨,外資,0,0,0,0,0,0
10,東證期貨,自營商,0,0,0,0,0,0
10,東證期貨,投信,0,0,0,0,0,0
10,東證期貨,外資,0,0,1,549,-1,-549
11,美國標普500期貨,自營商,0,0,0,0,0,0
11,美國標普500期貨,投信,0,0,0,0,0,0
11,美國標普500期貨,外資,25,29756,9,10764,16,18992
12,美國那斯達克100期貨,自營商,0,0,0,0,0,0
12,美國那斯達克100期貨,投信,0,0,0,0,0,0
12,美國那斯達克100期貨,外資,238,253564,201,214180,37,39384
13,美國道瓊期貨,自營商,0,0,0,0,0,0
13,美國道瓊期貨,投信,0,0,0,0,0,0
13,美國道瓊期貨,外資,131,112194,68,58224,63,53970
14,美國費城半導體期貨,自營商,21,8734,19,7902,2,832
14,美國費城半導體期貨,投信,0,0,0,0,0,0
14,美國費城半導體期貨,外資,71,29533,67,27893,4,1640
15,英國富時100期貨,自營商,101,41865,48,19922,53,21943
15,英國富時100期貨,投信,0,0,0,0,0,0
15,英國富時100期貨,外資,49,20310,64,26574,-15,-6264
期貨 小計,期貨 小計,自營商,6311,8772201,6973,10586455,-662,-1814254
期貨 小計,期貨 小計,投信,0,0,0,0,0,0
期貨 小計,期貨 小計,外資,52609,83402192,49376,82708547,3233,693645
期貨合計,期貨合計,期貨合計,58920,92174393,56349,93295002,2571,-1120609
