Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,12615,42831747,12605,42884388,10,-52642,25421,85329911,4341,14613829,21080,70716082
1,臺股期貨,投信,37,125544,965,3273493,-928,-3147949,19187,65093816,18537,62888626,650,2205190
1,臺股期貨,外資,81392,277193982,81266,276714472,126,479510,19876,67317195,51350,173191136,-31474,-105873941
2,電子期貨,自營商,330,1072255,405,1309974,-75,-237718,454,1459666,453,1455852,1,3814
2,電子期貨,投信,0,0,0,0,0,0,169,543369,0,0,169,543369
2,電子期貨,外資,2021,6550741,1996,6480207,25,70534,1151,3700695,869,2794009,282,906686
3,金融期貨,自營商,134,195367,143,208027,-9,-12660,248,361832,434,632553,-186,-270721
3,金融期貨,投信,0,0,0,0,0,0,8,11672,0,0,8,11672
3,金融期貨,外資,816,1189930,855,1247397,-39,-57467,429,625897,1489,2172451,-1060,-1546554
4,小型臺指期貨,自營商,16749,14249321,16597,14112860,152,136461,11610,9775103,11731,9848553,-121,-73450
4,小型臺指期貨,投信,0,0,23,19501,-23,-19501,159,134856,0,0,159,134856
4,小型臺指期貨,外資,134218,114272689,137522,117136765,-3304,-2864076,960,814538,13038,11056071,-12078,-10241533
5,股票期貨,自營商,15200,2629128,17938,3256044,-2738,-626916,77455,21171593,70211,9249347,7244,11922246
5,股票期貨,投信,1000,102489,0,0,1000,102489,2860,291720,3000,766600,-140,-474880
5,股票期貨,外資,167594,37539621,168991,37520016,-1397,19605,48193,16437058,354259,94413166,-306066,-77976108
6,ETF期貨,自營商,419,336395,333,295322,86,41072,1658,1922140,2792,1235983,-1134,686157
6,ETF期貨,投信,0,0,0,0,0,0,4960,4951149,3980,4988442,980,-37293
6,ETF期貨,外資,1267,1575655,1404,1720520,-137,-144865,4125,5474214,5743,7033851,-1618,-1559637
7,櫃買指數期貨,自營商,10,8148,10,8207,0,-59,4,3240,46,37729,-42,-34489
7,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
7,櫃買指數期貨,外資,0,0,0,0,0,0,0,0,6,4921,-6,-4921
8,非金電期貨,自營商,308,520680,385,650842,-77,-130162,29,49111,192,326841,-163,-277730
8,非金電期貨,投信,0,0,0,0,0,0,2,3408,0,0,2,3408
8,非金電期貨,外資,398,673353,318,538016,80,135337,180,306720,20,34080,160,272640
9,富櫃200期貨,自營商,18,7923,5,2206,13,5717,17,7482,42,18484,-25,-11002
9,富櫃200期貨,投信,0,0,0,0,0,0,27,11883,0,0,27,11883
9,富櫃200期貨,外資,3,1323,11,4841,-8,-3518,0,0,34,14963,-34,-14963
10,臺灣永續期貨,自營商,22,18795,22,18795,0,0,0,0,36,30690,-36,-30690
10,臺灣永續期貨,投信,0,0,0,0,0,0,35,29838,0,0,35,29838
10,臺灣永續期貨,外資,1,851,1,853,0,-1,0,0,0,0,0,0
11,臺灣生技期貨,自營商,15,3521,14,3289,1,232,0,0,31,7257,-31,-7257
11,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
11,臺灣生技期貨,外資,0,0,2,470,-2,-470,1,234,0,0,1,234
12,東證期貨,自營商,234,88615,270,102262,-36,-13647,5,1906,7,2664,-2,-758
12,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
12,東證期貨,外資,70,26511,26,9847,44,16664,63,24001,0,0,63,24001
13,美國標普500期貨,自營商,7,5821,38,31600,-31,-25779,2,1654,131,108327,-129,-106673
13,美國標普500期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
13,美國標普500期貨,外資,40,33394,66,55004,-26,-21610,4,3308,56,46309,-52,-43001
14,美國那斯達克100期貨,自營商,430,303160,246,173025,184,130136,321,224764,13,9099,308,215665
14,美國那斯達克100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
14,美國那斯達克100期貨,外資,1479,1041076,1740,1224287,-261,-183211,109,76322,72,50411,37,25911
15,美國道瓊期貨,自營商,49,32571,554,368302,-505,-335731,5,3298,745,491324,-740,-488026
15,美國道瓊期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
15,美國道瓊期貨,外資,1394,928321,1595,1062777,-201,-134456,0,0,176,116072,-176,-116072
16,英國富時100期貨,自營商,45,15695,120,41757,-75,-26062,0,0,50,17200,-50,-17200
16,英國富時100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
16,英國富時100期貨,外資,153,53227,162,56341,-9,-3113,14,4816,75,25800,-61,-20984
期貨 小計,期貨 小計,自營商,46615,62359123,49718,63510881,-3103,-1151758,117244,120331671,91273,38109700,25971,82221971
期貨 小計,期貨 小計,投信,1037,228033,988,3292994,49,-3064961,27407,71071711,25517,68643668,1890,2428043
期貨 小計,期貨 小計,外資,390846,441080674,395955,443771813,-5109,-2691137,75105,94784998,427187,290953240,-352082,-196168242
期貨合計,期貨合計,期貨合計,438498,503667830,446661,510575688,-8163,-6907856,219756,286188380,543977,397706608,-324221,-111518228
