Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,7184,25074244,7321,25564505,-137,-490262,21963,76110822,4958,17202252,17005,58908570
1,臺股期貨,投信,594,2068503,283,985265,311,1083238,18123,63089788,16632,57899318,1491,5190470
1,臺股期貨,外資,55359,193250453,55540,193878651,-181,-628199,17456,60720274,52819,183490161,-35363,-122769887
2,電子期貨,自營商,283,936560,331,1094625,-48,-158065,722,2376680,311,1023709,411,1352971
2,電子期貨,投信,1,3293,0,0,1,3293,167,549731,0,0,167,549731
2,電子期貨,外資,1222,4040738,1252,4139301,-30,-98563,555,1826949,839,2761820,-284,-934871
3,金融期貨,自營商,228,353646,175,271333,53,82313,433,672222,501,777872,-68,-105650
3,金融期貨,投信,0,0,0,0,0,0,9,13986,0,0,9,13986
3,金融期貨,外資,515,800021,692,1074838,-177,-274816,441,685314,2063,3205902,-1622,-2520588
4,小型臺指期貨,自營商,7975,6954954,7822,6826094,153,128860,4732,4081966,22368,19424851,-17636,-15342885
4,小型臺指期貨,投信,31,27001,0,0,31,27001,226,196688,0,0,226,196688
4,小型臺指期貨,外資,93763,81812713,95880,83652641,-2117,-1839929,2589,2252750,2713,2360930,-124,-108180
5,小型電子期貨,自營商,540,223544,715,295294,-175,-71750,17,6995,1042,428714,-1025,-421719
5,小型電子期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
5,小型電子期貨,外資,1298,536471,1450,599152,-152,-62682,216,88879,16,6584,200,82295
6,股票期貨,自營商,13550,2338377,18927,3770741,-5377,-1432364,59526,16419528,92200,15883560,-32674,535968
6,股票期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
6,股票期貨,外資,217309,54162122,219585,54787447,-2276,-625324,51915,17080581,312941,86491991,-261026,-69411410
7,ETF期貨,自營商,268,146244,292,218486,-24,-72241,796,871688,2455,1289021,-1659,-417333
7,ETF期貨,投信,62,10743,0,0,62,10743,5037,5060301,3980,5089850,1057,-29549
7,ETF期貨,外資,552,681498,696,670714,-144,10784,3806,5212528,4860,5739268,-1054,-526740
8,櫃買指數期貨,自營商,45,38938,44,38087,1,851,24,20676,17,14664,7,6012
8,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
8,櫃買指數期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
9,非金電期貨,自營商,346,600049,243,420846,103,179202,280,484816,36,62096,244,422720
9,非金電期貨,投信,0,0,0,0,0,0,2,3465,0,0,2,3465
9,非金電期貨,外資,250,433324,332,576042,-82,-142718,0,0,268,464310,-268,-464310
10,富櫃200期貨,自營商,87,40450,66,30695,21,9755,87,40297,35,16219,52,24078
10,富櫃200期貨,投信,0,0,0,0,0,0,28,12975,0,0,28,12975
10,富櫃200期貨,外資,1,463,14,6531,-13,-6067,0,0,24,11122,-24,-11122
11,臺灣永續期貨,自營商,0,0,0,0,0,0,0,0,40,34856,-40,-34856
11,臺灣永續期貨,投信,0,0,0,0,0,0,35,30499,0,0,35,30499
11,臺灣永續期貨,外資,0,0,0,0,0,0,4,3486,0,0,4,3486
12,臺灣生技期貨,自營商,8,1809,3,680,5,1129,0,0,29,6568,-29,-6568
12,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
12,臺灣生技期貨,外資,1,226,7,1583,-6,-1357,0,0,1,227,-1,-227
13,東證期貨,自營商,0,0,0,0,0,0,18,6995,158,61387,-140,-54392
13,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
13,東證期貨,外資,4,1554,2,777,2,777,67,26010,10,3886,57,22124
14,美國標普500期貨,自營商,15,13096,1,872,14,12225,8,6990,65,56673,-57,-49683
14,美國標普500期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
14,美國標普500期貨,外資,35,30556,43,37539,-8,-6982,69,60238,121,105724,-52,-45486
15,美國那斯達克100期貨,自營商,161,120285,50,37262,111,83023,12,8981,48,35920,-36,-26939
15,美國那斯達克100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
15,美國那斯達克100期貨,外資,935,696364,753,561017,182,135347,330,246952,7,5234,323,241718
16,美國道瓊期貨,自營商,188,130561,25,17324,163,113236,557,387134,6,4171,551,382963
16,美國道瓊期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
16,美國道瓊期貨,外資,1316,912716,1479,1025598,-163,-112882,664,461546,38,26336,626,435210
17,英國富時100期貨,自營商,5,1728,8,2762,-3,-1034,0,0,263,90821,-263,-90821
17,英國富時100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
17,英國富時100期貨,外資,46,15922,24,8302,22,7620,246,84949,85,29370,161,55579
期貨 小計,期貨 小計,自營商,30883,36974485,36023,38589606,-5140,-1615122,89191,101517400,124540,56424162,-35349,45093238
期貨 小計,期貨 小計,投信,688,2109540,283,985265,405,1124275,23627,68957433,20612,62989168,3015,5968265
期貨 小計,期貨 小計,外資,372606,337375141,377749,341020133,-5143,-3644991,78358,88750456,376805,284702865,-298447,-195952409
期貨合計,期貨合計,期貨合計,404177,376459166,414055,380595004,-9878,-4135838,191176,259225289,521957,404116195,-330781,-144890906
