Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,8923,31127783,8910,31075207,13,52576,19510,68204222,7314,25548327,12196,42655895
1,臺股期貨,投信,2,7003,37,128800,-35,-121797,9850,34484850,15511,54304011,-5661,-19819161
1,臺股期貨,外資,56022,195642671,55378,193423709,644,2218962,24328,85165615,29893,104497018,-5565,-19331403
2,電子期貨,自營商,403,1300467,376,1214221,27,86246,409,1320102,351,1132944,58,187158
2,電子期貨,投信,0,0,4,12873,-4,-12873,138,445464,0,0,138,445464
2,電子期貨,外資,1515,4882994,1192,3843260,323,1039734,1120,3615360,371,1197588,749,2417772
3,金融期貨,自營商,307,583454,245,466027,62,117427,429,823565,181,347520,248,476045
3,金融期貨,投信,0,0,0,0,0,0,15,28800,0,0,15,28800
3,金融期貨,外資,1452,2760065,1404,2667986,48,92079,359,689280,1697,3258240,-1338,-2568960
4,小型臺指期貨,自營商,15841,13819454,15559,13567437,282,252017,15011,13097178,18060,15758223,-3049,-2661045
4,小型臺指期貨,投信,0,0,2,1750,-2,-1750,334,292334,11,9628,323,282706
4,小型臺指期貨,外資,93355,81517517,94598,82613714,-1243,-1096197,4478,3918972,2230,1948540,2248,1970432
5,小型電子期貨,自營商,728,293963,859,347322,-131,-53359,60,24210,354,142780,-294,-118570
5,小型電子期貨,投信,0,0,0,0,0,0,105,42368,0,0,105,42368
5,小型電子期貨,外資,726,292686,822,331454,-96,-38768,11,4439,464,187224,-453,-182785
6,小型金融期貨,自營商,447,212383,298,141381,149,71002,440,211200,137,65760,303,145440
6,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
6,小型金融期貨,外資,93,44170,89,42287,4,1883,0,0,0,0,0,0
7,股票期貨,自營商,17274,2465973,21396,3195522,-4122,-729549,112225,22377649,114117,15266882,-1892,7110767
7,股票期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
7,股票期貨,外資,85362,19340136,89019,20286441,-3657,-946304,84225,20412069,332276,91626555,-248051,-71214486
8,ETF期貨,自營商,288,230914,297,234121,-9,-3208,2891,2373798,2708,1446602,183,927196
8,ETF期貨,投信,0,0,0,0,0,0,5108,5243047,3762,4960388,1346,282659
8,ETF期貨,外資,763,883916,867,1033211,-104,-149295,1680,2258296,5059,4886908,-3379,-2628612
9,櫃買指數期貨,自營商,1,855,1,857,0,-2,0,0,49,41880,-49,-41880
9,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
9,櫃買指數期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
10,非金電期貨,自營商,91,152964,74,124441,17,28523,145,244698,217,366176,-72,-121478
10,非金電期貨,投信,0,0,0,0,0,0,1,1688,0,0,1,1688
10,非金電期貨,外資,49,82382,64,107532,-15,-25150,50,84380,0,0,50,84380
11,富櫃200期貨,自營商,1,449,15,6757,-14,-6307,61,27496,98,44174,-37,-16678
11,富櫃200期貨,投信,0,0,0,0,0,0,29,13072,0,0,29,13072
11,富櫃200期貨,外資,5,2252,1,450,4,1802,4,1803,0,0,4,1803
12,臺灣永續期貨,自營商,0,0,0,0,0,0,1,893,0,0,1,893
12,臺灣永續期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
12,臺灣永續期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣生技期貨,自營商,1,215,8,1722,-7,-1507,13,2798,3,644,10,2154
13,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣生技期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
14,東證期貨,自營商,111,42665,189,72639,-78,-29974,29,11166,0,0,29,11166
14,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
14,東證期貨,外資,95,36521,31,11941,64,24581,5,1922,32,12322,-27,-10400
15,美國標普500期貨,自營商,9,8131,12,10842,-3,-2711,88,79591,120,108480,-32,-28889
15,美國標普500期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
15,美國標普500期貨,外資,35,31647,49,44295,-14,-12648,0,0,279,252248,-279,-252248
16,美國那斯達克100期貨,自營商,125,92470,628,465888,-503,-373419,131,97152,913,676579,-782,-579427
16,美國那斯達克100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
16,美國那斯達克100期貨,外資,1674,1241959,1582,1173262,92,68697,11,8159,504,373548,-493,-365389
17,美國道瓊期貨,自營商,170,117669,372,257076,-202,-139407,810,559985,66,45530,744,514455
17,美國道瓊期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
17,美國道瓊期貨,外資,1372,950712,1416,981121,-44,-30409,57,39322,283,195631,-226,-156309
18,英國富時100期貨,自營商,51,19088,41,15340,10,3748,152,57357,6,2251,146,55106
18,英國富時100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
18,英國富時100期貨,外資,54,20219,54,20216,0,4,26,9771,15,5627,11,4144
期貨 小計,期貨 小計,自營商,44771,50468897,49281,51198150,-4510,-729254,152408,109517126,144701,61004240,7707,48512886
期貨 小計,期貨 小計,投信,2,7003,43,143423,-41,-136420,15580,40551623,19284,59274027,-3704,-18722404
期貨 小計,期貨 小計,外資,242572,307729847,246566,306580879,-3994,1148971,116354,116209388,373103,208441449,-256749,-92232061
期貨合計,期貨合計,期貨合計,287345,358205747,295890,357922452,-8545,283297,284342,266278137,537088,328719716,-252746,-62441579
