Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,6575,23264096,6385,22593206,190,670891,19522,68755401,6800,23931565,12722,44823836
1,臺股期貨,投信,0,0,203,716005,-203,-716005,9921,34989383,15266,53840129,-5345,-18850746
1,臺股期貨,外資,43870,155325694,48139,170438823,-4269,-15113129,22986,81063184,32202,113414903,-9216,-32351719
2,電子期貨,自營商,231,764575,285,941714,-54,-177138,368,1212706,285,939194,83,273512
2,電子期貨,投信,0,0,0,0,0,0,142,468004,0,0,142,468004
2,電子期貨,外資,924,3057252,901,2981841,23,75411,767,2527879,242,797584,525,1730295
3,金融期貨,自營商,140,262255,176,329883,-36,-67628,323,605643,144,270058,179,335585
3,金融期貨,投信,0,0,0,0,0,0,15,28131,0,0,15,28131
3,金融期貨,外資,1007,1886992,947,1774412,60,112580,418,783917,1696,3180681,-1278,-2396764
4,小型臺指期貨,自營商,10812,9558653,9945,8788197,867,770456,13826,12146072,16149,14192867,-2323,-2046795
4,小型臺指期貨,投信,0,0,1,882,-1,-882,334,294488,8,7054,326,287434
4,小型臺指期貨,外資,73367,64950045,82213,72768642,-8846,-7818597,3926,3461266,3466,3052925,460,408341
5,小型電子期貨,自營商,318,131617,594,245545,-276,-113928,60,24719,361,148689,-301,-123970
5,小型電子期貨,投信,0,0,0,0,0,0,105,43257,0,0,105,43257
5,小型電子期貨,外資,478,197737,566,234156,-88,-36420,9,3708,272,112057,-263,-108349
6,小型金融期貨,自營商,346,162044,253,118494,93,43551,319,149563,132,61888,187,87675
6,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
6,小型金融期貨,外資,122,57135,106,49677,16,7457,0,0,0,0,0,0
7,股票期貨,自營商,11886,2153996,13877,2256361,-1991,-102365,110293,22748980,107302,14377324,2991,8371656
7,股票期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
7,股票期貨,外資,64924,17249502,66950,18307625,-2026,-1058123,82149,21011095,325564,92685671,-243415,-71674576
8,ETF期貨,自營商,114,85954,145,86903,-31,-949,2761,2311086,2585,1430490,176,880596
8,ETF期貨,投信,0,0,0,0,0,0,5108,5301811,3762,5023129,1346,278682
8,ETF期貨,外資,506,521595,452,515167,54,6429,1681,2286367,5010,4754105,-3329,-2467738
9,櫃買指數期貨,自營商,2,1736,1,871,1,865,0,0,47,40792,-47,-40792
9,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
9,櫃買指數期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
10,非金電期貨,自營商,10,16842,42,70493,-32,-53651,103,172612,179,299972,-76,-127360
10,非金電期貨,投信,0,0,0,0,0,0,1,1676,0,0,1,1676
10,非金電期貨,外資,50,83937,16,26890,34,57047,65,108934,0,0,65,108934
11,富櫃200期貨,自營商,15,6892,4,1836,11,5056,59,27022,89,40762,-30,-13740
11,富櫃200期貨,投信,0,0,0,0,0,0,29,13282,0,0,29,13282
11,富櫃200期貨,外資,0,0,0,0,0,0,10,4580,0,0,10,4580
12,臺灣永續期貨,自營商,4,3619,5,4525,-1,-907,1,901,0,0,1,901
12,臺灣永續期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
12,臺灣永續期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣生技期貨,自營商,0,0,16,3457,-16,-3457,29,6257,2,431,27,5826
13,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣生技期貨,外資,0,0,0,0,0,0,0,0,3,647,-3,-647
14,東證期貨,自營商,21,8195,30,11716,-9,-3521,97,37807,0,0,97,37807
14,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
14,東證期貨,外資,28,10922,35,13655,-7,-2733,5,1949,103,40145,-98,-38196
15,美國標普500期貨,自營商,6,5535,7,6454,-1,-919,90,83046,125,115219,-35,-32173
15,美國標普500期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
15,美國標普500期貨,外資,28,25776,18,16586,10,9189,10,9219,233,214837,-223,-205618
16,美國那斯達克100期貨,自營商,261,197978,315,238665,-54,-40686,98,74309,211,159537,-113,-85228
16,美國那斯達克100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
16,美國那斯達克100期貨,外資,1820,1379663,1968,1490891,-148,-111229,11,8341,337,254958,-326,-246617
17,美國道瓊期貨,自營商,229,161054,78,54821,151,106233,1127,791875,47,33013,1080,758862
17,美國道瓊期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
17,美國道瓊期貨,外資,2792,1960664,2899,2035684,-107,-75021,84,59004,108,75882,-24,-16878
18,英國富時100期貨,自營商,114,42680,125,46807,-11,-4127,140,52647,22,8220,118,44427
18,英國富時100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
18,英國富時100期貨,外資,139,52044,128,47921,11,4123,39,14623,5,1880,34,12743
期貨 小計,期貨 小計,自營商,31084,36827721,32283,35799948,-1199,1027776,149220,109206158,134487,56059667,14733,53146491
期貨 小計,期貨 小計,投信,0,0,204,716887,-204,-716887,15655,41140032,19036,58870312,-3381,-17730280
期貨 小計,期貨 小計,外資,190055,246758958,205338,270701970,-15283,-23943016,112160,111344066,369241,218586275,-257081,-107242209
期貨合計,期貨合計,期貨合計,221139,283586679,237825,307218805,-16686,-23632127,277035,261690256,522764,333516254,-245729,-71825998
