Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,13029,43365182,12745,42412401,284,952782,18964,62762412,5053,16672301,13911,46090111
1,臺股期貨,投信,191,632980,1087,3601913,-896,-2968933,10986,36411998,17758,58857115,-6772,-22445117
1,臺股期貨,外資,80909,270168505,81608,272526680,-699,-2358175,20744,68742687,29440,97420816,-8696,-28678129
2,電子期貨,自營商,362,1099282,304,922865,58,176417,358,1079570,415,1251467,-57,-171897
2,電子期貨,投信,0,0,22,66330,-22,-66330,155,467418,0,0,155,467418
2,電子期貨,外資,1755,5322120,1821,5523709,-66,-201589,1545,4659102,548,1652519,997,3006583
3,金融期貨,自營商,320,581346,295,536176,25,45170,335,609728,275,500634,60,109094
3,金融期貨,投信,0,0,0,0,0,0,14,25486,0,0,14,25486
3,金融期貨,外資,1892,3437917,1862,3383922,30,53996,475,864690,1393,2535817,-918,-1671127
4,小型臺指期貨,自營商,18283,15235924,18561,15439162,-278,-203238,11143,9203106,15784,13015547,-4641,-3812441
4,小型臺指期貨,投信,3,2485,12,9943,-9,-7458,360,298296,8,6629,352,291667
4,小型臺指期貨,外資,125485,104850937,132642,110855545,-7157,-6004608,649,537758,12836,10633424,-12187,-10095666
5,小型電子期貨,自營商,968,370524,1014,388368,-46,-17845,345,130048,169,63632,176,66416
5,小型電子期貨,投信,0,0,0,0,0,0,105,39580,0,0,105,39580
5,小型電子期貨,外資,1446,548506,1450,550098,-4,-1592,98,36941,80,30156,18,6785
6,小型金融期貨,自營商,518,235480,560,254411,-42,-18932,35,15929,304,138354,-269,-122425
6,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
6,小型金融期貨,外資,203,92218,199,90398,4,1820,8,3641,0,0,8,3641
7,股票期貨,自營商,20423,3197438,14817,2280915,5606,916523,121683,23091002,86586,10414682,35097,12676320
7,股票期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
7,股票期貨,外資,103588,25132931,108756,24584021,-5168,548910,61362,17191046,324759,82681002,-263397,-65489956
8,ETF期貨,自營商,1040,337104,935,250082,105,87022,2791,2718837,2122,1058488,669,1660349
8,ETF期貨,投信,0,0,0,0,0,0,5113,4937124,3762,4682934,1351,254190
8,ETF期貨,外資,913,1028119,931,934586,-18,93534,1460,1853910,5354,5017996,-3894,-3164086
9,櫃買指數期貨,自營商,5,3916,10,7842,-5,-3926,0,0,29,22694,-29,-22694
9,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
9,櫃買指數期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
10,非金電期貨,自營商,43,70503,20,32946,23,37557,93,152687,47,77146,46,75541
10,非金電期貨,投信,0,0,0,0,0,0,1,1642,0,0,1,1642
10,非金電期貨,外資,48,78995,74,121530,-26,-42535,1,1642,55,90299,-54,-88657
11,富櫃200期貨,自營商,22,8878,24,9662,-2,-784,68,27322,101,40574,-33,-13252
11,富櫃200期貨,投信,0,0,0,0,0,0,30,12054,0,0,30,12054
11,富櫃200期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
12,臺灣永續期貨,自營商,164,138922,161,136384,3,2538,43,36404,40,33860,3,2544
12,臺灣永續期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
12,臺灣永續期貨,外資,0,0,0,0,0,0,0,0,1,848,-1,-848
13,臺灣生技期貨,自營商,13,2859,37,8136,-24,-5277,13,2808,2,432,11,2376
13,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣生技期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
14,東證期貨,自營商,91,34178,90,33765,1,413,78,29177,0,0,78,29177
14,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
14,東證期貨,外資,70,26252,73,27419,-3,-1166,10,3743,93,34790,-83,-31047
15,美國標普500期貨,自營商,45,38542,23,19538,22,19004,60,50910,155,131432,-95,-80522
15,美國標普500期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
15,美國標普500期貨,外資,224,193075,157,135649,67,57425,5,4243,263,223045,-258,-218802
16,美國那斯達克100期貨,自營商,610,412275,491,331477,119,80798,245,163121,1891,1254962,-1646,-1091841
16,美國那斯達克100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
16,美國那斯達克100期貨,外資,2050,1387425,1975,1340016,75,47408,62,41146,2628,1744577,-2566,-1703431
17,美國道瓊期貨,自營商,188,128774,501,341800,-313,-213026,687,460607,1,670,686,459937
17,美國道瓊期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
17,美國道瓊期貨,外資,2015,1376214,2477,1695003,-462,-318789,41,27515,911,610842,-870,-583327
18,英國富時100期貨,自營商,94,35195,143,53334,-49,-18139,183,67780,0,0,183,67780
18,英國富時100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
18,英國富時100期貨,外資,90,33710,122,45659,-32,-11949,29,10746,83,30540,-54,-19794
期貨 小計,期貨 小計,自營商,56218,65296322,50739,63469514,5479,1826807,157124,100601448,112983,44688426,44141,55913022
期貨 小計,期貨 小計,投信,194,635465,1121,3678186,-927,-3042721,16764,42193598,21528,63546678,-4764,-21353080
期貨 小計,期貨 小計,外資,320688,413676924,334147,421814235,-13459,-8137310,86489,93978810,378444,202706671,-291955,-108727861
期貨合計,期貨合計,期貨合計,377100,479608711,386007,488961935,-8907,-9353224,260377,236773856,512955,310941775,-252578,-74167919
