Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,12766,44871798,13923,48965614,-1157,-4093816,16895,59404537,1969,6912357,14926,52492180
1,臺股期貨,投信,429,1507181,31,108893,398,1398288,14959,52649696,14817,52149721,142,499975
1,臺股期貨,外資,53009,186255523,51311,180242264,1698,6013259,20890,73511746,46678,164223266,-25788,-90711520
2,電子期貨,自營商,834,2806057,960,3232033,-126,-425976,379,1275108,348,1170811,31,104297
2,電子期貨,投信,3,10087,7,23579,-4,-13492,146,491202,0,0,146,491202
2,電子期貨,外資,1576,5292388,1415,4754832,161,537556,826,2778994,536,1803318,290,975676
3,金融期貨,自營商,522,871680,487,813545,35,58134,331,551645,38,63331,293,488314
3,金融期貨,投信,0,0,0,0,0,0,12,19999,0,0,12,19999
3,金融期貨,外資,988,1649989,1205,2011696,-217,-361707,392,653307,2032,3386531,-1640,-2733224
4,小型臺指期貨,自營商,16284,14300232,17926,15750837,-1642,-1450605,10990,9659338,13996,12300332,-3006,-2640994
4,小型臺指期貨,投信,6,5272,4,3524,2,1748,223,196218,0,0,223,196218
4,小型臺指期貨,外資,79704,70015006,77608,68166979,2096,1848027,1742,1532719,4436,3903123,-2694,-2370404
5,小型電子期貨,自營商,1356,569491,1142,479167,214,90323,82,34485,171,71914,-89,-37429
5,小型電子期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
5,小型電子期貨,外資,1085,455403,1165,488800,-80,-33397,0,0,88,37008,-88,-37008
6,小型金融期貨,自營商,214,89363,269,112308,-55,-22945,45,18749,108,44998,-63,-26249
6,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
6,小型金融期貨,外資,71,29644,139,58052,-68,-28408,0,0,0,0,0,0
7,股票期貨,自營商,31381,5656778,27186,4995396,4195,661382,92760,18170405,51320,7598239,41440,10572166
7,股票期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
7,股票期貨,外資,162363,36654986,161012,37597929,1351,-942943,54934,22857731,328850,91480863,-273916,-68623132
8,ETF期貨,自營商,621,579737,610,576644,11,3092,779,1029265,2154,964174,-1375,65091
8,ETF期貨,投信,0,0,0,0,0,0,4920,5135192,3762,5113706,1158,21486
8,ETF期貨,外資,688,889518,838,902292,-150,-12774,1139,1589502,2099,2407844,-960,-818342
9,櫃買指數期貨,自營商,32,29213,22,20058,10,9155,10,9134,7,6394,3,2740
9,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
9,櫃買指數期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
10,非金電期貨,自營商,385,641756,420,699845,-35,-58089,156,260036,23,38339,133,221697
10,非金電期貨,投信,0,0,0,0,0,0,1,1667,0,0,1,1667
10,非金電期貨,外資,181,301715,220,366698,-39,-64983,22,36672,173,288374,-151,-251702
11,富櫃200期貨,自營商,138,67280,123,60012,15,7268,69,33782,78,38189,-9,-4407
11,富櫃200期貨,投信,0,0,0,0,0,0,30,14688,0,0,30,14688
11,富櫃200期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
12,臺灣永續期貨,自營商,56,49967,56,49963,0,4,0,0,0,0,0,0
12,臺灣永續期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
12,臺灣永續期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣生技期貨,自營商,61,13863,59,13409,2,454,0,0,24,5476,-24,-5476
13,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣生技期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
14,東證期貨,自營商,2,794,18,7135,-16,-6342,5,1983,120,47616,-115,-45633
14,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
14,東證期貨,外資,6,2378,2,793,4,1585,16,6349,48,19046,-32,-12697
15,美國標普500期貨,自營商,43,39848,37,34243,6,5606,208,193024,186,172441,22,20583
15,美國標普500期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
15,美國標普500期貨,外資,44,40860,59,54690,-15,-13831,86,79787,384,356245,-298,-276458
16,美國那斯達克100期貨,自營商,185,146573,637,504225,-452,-357653,24,19138,1911,1523737,-1887,-1504599
16,美國那斯達克100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
16,美國那斯達克100期貨,外資,2507,1994818,2271,1806181,236,188637,246,196160,855,681587,-609,-485427
17,美國道瓊期貨,自營商,337,239790,611,434212,-274,-194422,237,168744,113,80238,124,88506
17,美國道瓊期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
17,美國道瓊期貨,外資,1364,971678,1157,823398,207,148280,367,261034,50,35582,317,225452
18,英國富時100期貨,自營商,147,52764,143,51281,4,1483,387,139778,85,30426,302,109352
18,英國富時100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
18,英國富時100期貨,外資,116,41696,123,44206,-7,-2510,67,23983,401,144861,-334,-120878
期貨 小計,期貨 小計,自營商,65566,71305484,64838,77088071,728,-5782591,123358,90970524,72657,31077252,50701,59893272
期貨 小計,期貨 小計,投信,438,1522540,42,135996,396,1386544,20291,58508662,18579,57263427,1712,1245235
期貨 小計,期貨 小計,外資,303702,304595602,298525,297318810,5177,7276791,80727,103527984,386630,268767648,-305903,-165239664
期貨合計,期貨合計,期貨合計,369706,377423626,363405,374542877,6301,2880744,224376,253007170,477866,357108327,-253490,-104101157
